federal_state	region_type	region_id	region_name	year	gisd_score	gisd_5	gisd_10	gisd_k
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	1998	0.94528	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	1999	0.96481	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2000	0.95814	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2001	0.8845	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2002	0.94466	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2003	0.87789	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2004	0.95256	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2005	0.94957	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2006	1	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2007	1	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2008	0.98229	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2009	0.97085	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2010	0.95767	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2011	0.93211	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2012	0.8059	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2013	0.88693	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2014	0.84619	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2015	0.92513	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2016	0.88133	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2017	0.93949	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2018	0.86925	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2019	0.89567	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2020	0.92391	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2021	0.92318	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2022	0.91236	5	10	3
Schleswig-Holstein	Gemeinde	01001000	Flensburg, Stadt	2023	0.81889	5	10	3
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	1998	0.66984	5	9	3
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	1999	0.6411	4	7	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2000	0.71335	4	7	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2001	0.65787	4	7	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2002	0.60234	3	6	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2003	0.61085	4	7	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2004	0.63435	4	7	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2005	0.61129	4	8	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2006	0.70135	5	9	3
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2007	0.72143	5	9	3
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2008	0.64752	4	8	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2009	0.60022	4	8	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2010	0.61209	4	8	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2011	0.62396	4	8	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2012	0.55711	3	6	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2013	0.59	4	8	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2014	0.56808	4	7	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2015	0.53876	3	6	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2016	0.54116	3	6	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2017	0.5618	4	7	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2018	0.5341	3	6	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2019	0.53517	4	7	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2020	0.52422	3	6	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2021	0.48842	4	7	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2022	0.51189	4	7	2
Schleswig-Holstein	Gemeinde	01002000	Kiel, Landeshauptstadt	2023	0.49608	4	7	2
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	1998	0.78881	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	1999	0.81284	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2000	0.93832	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2001	0.84073	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2002	0.8228	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2003	0.7859	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2004	0.75655	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2005	0.78781	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2006	0.80472	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2007	0.80417	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2008	0.76443	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2009	0.72481	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2010	0.75242	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2011	0.82039	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2012	0.78704	5	10	3
Schleswig-Holstein	Gemeinde	01003000	Lübeck, Hansestadt	2013	0.7643	5	10	3
