year,PLZ3,gisd_score,population,gisd_5,gisd_10,gisd_k
1998,10,0.56955,118981,3,6,2
1998,11,0.57015,205205,3,6,2
1998,12,0.56982,86570,3,6,2
1998,13,0.5699,121622,3,6,2
1998,14,0.7275,118898,4,8,2
1998,15,0.76403,67893,5,9,3
1998,16,0.76493,121583,5,9,3
1998,17,0.73247,163225,4,8,2
1998,18,0.75561,114206,5,9,3
1998,19,0.8239,141046,5,10,3
1998,26,0.80931,93490,5,9,3
1998,27,0.8525,116277,5,10,3
1998,28,0.84079,76020,5,10,3
1998,29,0.81905,124086,5,10,3
1998,30,0.73103,121904,4,8,2
1998,31,0.7788,92034,5,9,3
1998,32,0.80983,74095,5,9,3
1998,41,0.77711,192325,5,9,3
1998,42,0.77704,225295,5,9,3
1998,43,0.77731,185537,5,9,3
1998,44,0.82673,108178,5,10,3
1998,45,0.82617,111036,5,10,3
1998,46,0.84122,174019,5,10,3
1998,47,0.82303,99426,5,10,3
1998,48,0.84599,140303,5,10,3
1998,49,0.79659,53504,5,9,3
1998,61,0.88437,308193,5,10,3
1998,62,0.88819,139064,5,10,3
1998,63,0.97166,105127,5,10,3
1998,64,0.96531,139622,5,10,3
1998,65,0.96678,102751,5,10,3
1998,66,0.94455,130970,5,10,3
1998,67,0.93259,135112,5,10,3
1998,68,0.86084,159814,5,10,3
1998,69,0.85201,38262,5,10,3
1998,73,0.81418,86125,5,10,3
1998,74,0.79545,45586,5,9,3
1998,75,0.8579,135676,5,10,3
1998,76,0.76684,55962,5,9,3
1998,77,0.53394,137761,3,5,2
1998,78,0.82868,15552,5,10,3
1998,79,0.80519,88056,5,9,3
1998,80,0.76353,81309,5,9,3
1998,81,0.78123,60099,5,9,3
1998,82,0.76691,123863,5,9,3
1998,83,0.79913,110716,5,9,3
1998,84,0.7672,91084,5,9,3
1998,85,0.72033,80262,4,8,2
1998,86,0.72791,26129,4,8,2
1998,91,0.73904,195539,4,8,2
1998,92,0.76987,119436,5,9,3
1998,93,0.80012,131547,5,9,3
1998,94,0.81468,114131,5,10,3
1998,95,0.79392,108055,5,9,3
1998,96,0.7972,98971,5,9,3
1998,101,0.81102,45127,5,9,3
1998,102,0.81102,43139,5,9,3
1998,103,0.81102,111224,5,9,3
1998,104,0.81102,43358,5,9,3
1998,105,0.81102,53164,5,9,3
1998,106,0.81102,12631,5,9,3
1998,107,0.81102,60124,5,9,3
1998,108,0.81102,19412,5,9,3
1998,109,0.81102,45102,5,9,3
1998,120,0.81102,65676,5,9,3
1998,121,0.81102,119393,5,9,3
1998,122,0.81096,128447,5,9,3
1998,123,0.811,186083,5,9,3
1998,124,0.81102,144314,5,9,3
1998,125,0.80699,576191,5,9,3
1998,126,0.81102,259104,5,10,3
1998,130,0.81102,169472,5,9,3
1998,131,0.81103,324491,5,10,3
1998,133,0.81102,62027,5,9,3
1998,134,0.81085,202476,5,9,3
1998,135,0.81102,440502,5,9,3
1998,136,0.81102,45754,5,9,3
1998,140,0.81086,189863,5,9,3
1998,141,0.8106,411953,5,9,3
1998,144,0.50944,187927,3,5,2
1998,145,0.59451,153022,4,7,2
1998,146,0.87688,125605,5,10,3
1998,147,0.8511,151795,5,10,3
1998,148,0.60215,31605,4,7,2
1998,149,0.72097,104898,4,8,2
1998,152,0.78921,73784,5,9,3
1998,153,0.79812,163439,5,9,3
1998,155,0.7637,113899,5,9,3
1998,157,0.67179,112517,4,8,2
1998,158,0.74445,141087,4,8,2
1998,159,0.68568,51243,4,8,2
1998,162,0.83476,116954,5,10,3
1998,163,0.84867,162001,5,10,3
1998,165,0.75694,114109,5,9,3
1998,167,0.7645,106535,5,9,3
1998,168,0.92098,85309,5,10,3
1998,169,0.91113,41414,5,10,3
1998,170,0.86898,105186,5,10,3
1998,171,0.88685,109105,5,10,3
1998,172,0.9088,130955,5,10,3
1998,173,0.93699,102027,5,10,3
1998,174,0.92287,121651,5,10,3
1998,175,0.94905,12469,5,10,3
1998,180,0.82072,57875,5,10,3
1998,181,0.82431,200389,5,10,3
1998,182,0.84706,137161,5,10,3
1998,183,0.88919,48591,5,10,3
1998,184,0.86777,84176,5,10,3
1998,185,0.88527,85052,5,10,3
1998,186,0.86874,5574,5,10,3
1998,190,0.81185,149037,5,10,3
1998,192,0.87131,118084,5,10,3
1998,193,0.89187,122772,5,10,3
1998,194,0.89505,17022,5,10,3
1998,200,0.41869,10831,2,3,2
1998,201,0.41869,10837,2,3,2
1998,202,0.41869,15366,2,3,2
1998,203,0.41869,12812,2,3,2
1998,204,0.41869,38870,2,3,2
1998,205,0.41869,44002,2,3,2
1998,210,0.42016,523957,2,3,2
1998,211,0.41867,314783,2,3,2
1998,212,0.37625,157569,1,2,1
1998,213,0.54965,170507,3,6,2
1998,214,0.4406,168702,2,3,2
1998,215,0.48108,81340,2,4,2
1998,216,0.47722,162332,2,4,2
1998,217,0.61065,107200,4,7,2
1998,220,0.41867,68995,2,3,2
1998,221,0.41403,220290,2,3,2
1998,222,0.41869,15090,2,3,2
1998,223,0.41866,257106,2,3,2
1998,224,0.41904,105612,2,3,2
1998,225,0.41874,166764,2,3,2
1998,226,0.41869,38213,2,3,2
1998,227,0.41869,33341,2,3,2
1998,228,0.45725,149368,2,4,2
1998,229,0.35316,114966,1,2,1
1998,235,0.731,216653,4,8,2
1998,236,0.60101,96054,4,7,2
1998,237,0.60965,150503,4,7,2
1998,238,0.46269,142465,2,4,2
1998,239,0.82193,146327,5,10,3
1998,241,0.64808,276833,4,8,2
1998,242,0.58109,135232,4,7,2
1998,243,0.595,99274,4,7,2
1998,244,0.64565,4717,4,8,2
1998,245,0.66748,193006,4,8,2
1998,246,0.55615,65806,3,6,2
1998,247,0.5675,76947,3,6,2
1998,248,0.62267,106387,4,7,2
1998,249,0.70964,182145,4,8,2
1998,253,0.48194,110063,2,4,2
1998,254,0.43722,192531,2,3,2
1998,255,0.61729,115996,4,7,2
1998,256,0.69639,4562,4,8,2
1998,257,0.69363,117913,4,8,2
1998,258,0.58447,113923,4,7,2
1998,259,0.57404,56906,3,6,2
1998,261,0.58889,286319,4,7,2
1998,262,0.60706,57236,4,7,2
1998,263,0.75646,126884,5,9,3
1998,264,0.70198,107403,4,8,2
1998,265,0.76979,76901,5,9,3
1998,266,0.74089,178099,4,8,2
1998,267,0.6854,109898,4,8,2
1998,268,0.7109,183495,4,8,2
1998,269,0.60846,87180,4,7,2
1998,272,0.54986,116234,3,6,2
1998,273,0.6097,150888,4,7,2
1998,274,0.64452,152109,4,8,2
1998,275,0.90417,111593,5,10,3
1998,276,0.75599,120955,5,9,3
1998,277,0.66899,215825,4,8,2
1998,278,0.5905,20902,4,7,2
1998,281,0.58861,72847,4,7,2
1998,282,0.58843,160583,4,7,2
1998,283,0.58843,196379,4,7,2
1998,287,0.58619,145063,4,7,2
1998,288,0.54285,183026,3,6,2
1998,292,0.65971,69963,4,8,2
1998,293,0.646,151672,4,8,2
1998,294,0.87394,78493,5,10,3
1998,295,0.66354,89281,4,8,2
1998,296,0.63835,141558,4,8,2
1998,301,0.49533,104200,3,5,2
1998,304,0.49532,150951,3,5,2
1998,305,0.49528,134721,3,5,2
1998,306,0.4953,151018,3,5,2
1998,308,0.4917,195097,3,5,2
1998,309,0.48873,200725,2,4,2
1998,310,0.58194,73845,4,7,2
1998,311,0.55548,221786,3,6,2
1998,312,0.54751,140771,3,6,2
1998,313,0.4973,76097,3,5,2
1998,315,0.59302,177891,4,7,2
1998,316,0.6753,119884,4,8,2
1998,317,0.63646,105176,4,7,2
1998,318,0.60417,122131,4,7,2
1998,320,0.50514,67402,3,5,2
1998,321,0.50071,109889,3,5,2
1998,322,0.50573,72072,3,5,2
1998,323,0.55206,92705,3,6,2
1998,324,0.54678,160613,3,6,2
1998,325,0.52726,89491,3,5,2
1998,326,0.50768,123199,3,5,2
1998,327,0.49592,110279,3,5,2
1998,328,0.51217,64157,3,5,2
1998,330,0.54001,46864,3,6,2
1998,331,0.51847,318486,3,5,2
1998,333,0.46353,181232,2,4,2
1998,334,0.46872,77434,2,4,2
1998,336,0.56048,246840,3,6,2
1998,337,0.51888,161771,3,5,2
1998,338,0.47968,75595,2,4,2
1998,341,0.72554,202758,4,8,2
1998,342,0.41536,175392,2,3,2
1998,343,0.44837,139976,2,3,2
1998,344,0.54252,133141,3,6,2
1998,345,0.55105,118944,3,6,2
1998,346,0.53619000000000006,49194,3,5,2
1998,350,0.51608,165338,3,5,2
1998,351,0.55224,35426,3,6,2
1998,352,0.5045,100085,3,5,2
1998,353,0.53427,139177,3,5,2
1998,354,0.52676,161150,3,5,2
1998,355,0.46865,91598,2,4,2
1998,356,0.52453,117882,3,5,2
1998,357,0.51078,130216,3,5,2
1998,360,0.46294,103385,2,4,2
1998,361,0.47456,161182,2,4,2
1998,362,0.49166,101455,2,4,2
1998,363,0.52416,103052,3,5,2
1998,364,0.72639,71505,4,8,2
1998,370,0.54524,117796,3,6,2
1998,371,0.59174,176664,4,7,2
1998,372,0.58233,92401,4,7,2
1998,373,0.78287,100386,5,9,3
1998,374,0.55364,52769,3,6,2
1998,375,0.61228,84844,4,7,2
1998,376,0.62967,108872,4,7,2
1998,381,0.4853,349127,2,4,2
1998,382,0.64084,128547,4,8,2
1998,383,0.62944,128372,4,7,2
1998,384,0.39895,177903,2,3,2
1998,385,0.5602,117125,3,6,2
1998,386,0.64625,89617,4,8,2
1998,387,0.64643,42717,4,8,2
1998,388,0.90977,141784,5,10,3
1998,391,0.8599,289082,5,10,3
1998,392,0.93522,128841,5,10,3
1998,393,0.82525,152057,5,10,3
1998,394,0.99619,45838,5,10,3
