"gisd_score","gemeinde_id","gemeinde_name","year"
0.09789,"08111000","Stuttgart, Landeshauptstadt",1998
0.05193,"08111000","Stuttgart, Landeshauptstadt",1999
0.11253,"08111000","Stuttgart, Landeshauptstadt",2000
0.12818,"08111000","Stuttgart, Landeshauptstadt",2001
0.15879,"08111000","Stuttgart, Landeshauptstadt",2002
0.13345,"08111000","Stuttgart, Landeshauptstadt",2003
0.07642,"08111000","Stuttgart, Landeshauptstadt",2004
0.08541,"08111000","Stuttgart, Landeshauptstadt",2005
0.12921,"08111000","Stuttgart, Landeshauptstadt",2006
0.09443,"08111000","Stuttgart, Landeshauptstadt",2007
0.08776,"08111000","Stuttgart, Landeshauptstadt",2008
0.08835,"08111000","Stuttgart, Landeshauptstadt",2009
0.09143,"08111000","Stuttgart, Landeshauptstadt",2010
0.08968,"08111000","Stuttgart, Landeshauptstadt",2011
0.12119,"08111000","Stuttgart, Landeshauptstadt",2012
0.14056,"08111000","Stuttgart, Landeshauptstadt",2013
0.09583,"08111000","Stuttgart, Landeshauptstadt",2014
0.10202,"08111000","Stuttgart, Landeshauptstadt",2015
0.10377,"08111000","Stuttgart, Landeshauptstadt",2016
0,"08111000","Stuttgart, Landeshauptstadt",2017
0.06841,"08111000","Stuttgart, Landeshauptstadt",2018
0.03029,"08111000","Stuttgart, Landeshauptstadt",2019
0.01125,"08115001","Aidlingen",1998
0.02214,"08115001","Aidlingen",1999
0.02621,"08115001","Aidlingen",2000
0.05463,"08115001","Aidlingen",2001
0.09026,"08115001","Aidlingen",2002
0.07798,"08115001","Aidlingen",2003
0.01585,"08115001","Aidlingen",2004
0.00864,"08115001","Aidlingen",2005
0.02323,"08115001","Aidlingen",2006
0.03254,"08115001","Aidlingen",2007
0.02403,"08115001","Aidlingen",2008
0.02823,"08115001","Aidlingen",2009
0.02286,"08115001","Aidlingen",2010
0.0161,"08115001","Aidlingen",2011
0.08711,"08115001","Aidlingen",2012
0.09201,"08115001","Aidlingen",2013
0.07165,"08115001","Aidlingen",2014
0.07969,"08115001","Aidlingen",2015
0.09013,"08115001","Aidlingen",2016
0.05926,"08115001","Aidlingen",2017
0.10497,"08115001","Aidlingen",2018
0.06834,"08115001","Aidlingen",2019
0.01454,"08115002","Altdorf",1998
0.02722,"08115002","Altdorf",1999
0.03348,"08115002","Altdorf",2000
0.04991,"08115002","Altdorf",2001
0.08341,"08115002","Altdorf",2002
0.07436,"08115002","Altdorf",2003
0.00594,"08115002","Altdorf",2004
0.01335,"08115002","Altdorf",2005
0.01604,"08115002","Altdorf",2006
0.02153,"08115002","Altdorf",2007
0.00949,"08115002","Altdorf",2008
0.00873,"08115002","Altdorf",2009
0.00695,"08115002","Altdorf",2010
0.00146,"08115002","Altdorf",2011
0.06842,"08115002","Altdorf",2012
0.06946,"08115002","Altdorf",2013
0.05083,"08115002","Altdorf",2014
0.04812,"08115002","Altdorf",2015
0.07879,"08115002","Altdorf",2016
0.06344,"08115002","Altdorf",2017
0.10189,"08115002","Altdorf",2018
0.0712,"08115002","Altdorf",2019
0,"08115003","Böblingen, Stadt",1998
0.00786,"08115003","Böblingen, Stadt",1999
0.01962,"08115003","Böblingen, Stadt",2000
0.03706,"08115003","Böblingen, Stadt",2001
0.07116,"08115003","Böblingen, Stadt",2002
0.09163,"08115003","Böblingen, Stadt",2003
0.03513,"08115003","Böblingen, Stadt",2004
0.04526,"08115003","Böblingen, Stadt",2005
0.05979,"08115003","Böblingen, Stadt",2006
0.05183,"08115003","Böblingen, Stadt",2007
0.03807,"08115003","Böblingen, Stadt",2008
0.05659,"08115003","Böblingen, Stadt",2009
0.05046,"08115003","Böblingen, Stadt",2010
0.0323,"08115003","Böblingen, Stadt",2011
0.11014,"08115003","Böblingen, Stadt",2012
0.11325,"08115003","Böblingen, Stadt",2013
0.08473,"08115003","Böblingen, Stadt",2014
0.08618,"08115003","Böblingen, Stadt",2015
0.10472,"08115003","Böblingen, Stadt",2016
0.07696,"08115003","Böblingen, Stadt",2017
0.10623,"08115003","Böblingen, Stadt",2018
0.07131,"08115003","Böblingen, Stadt",2019
0.04756,"08115004","Bondorf",1998
0.05899,"08115004","Bondorf",1999
0.05682,"08115004","Bondorf",2000
0.07611,"08115004","Bondorf",2001
0.11612,"08115004","Bondorf",2002
0.1143,"08115004","Bondorf",2003
0.06206,"08115004","Bondorf",2004
0.06457,"08115004","Bondorf",2005
0.08028,"08115004","Bondorf",2006
0.08124,"08115004","Bondorf",2007
0.07593,"08115004","Bondorf",2008
0.07495,"08115004","Bondorf",2009
0.08493,"08115004","Bondorf",2010
0.06845,"08115004","Bondorf",2011
0.14674,"08115004","Bondorf",2012
0.14683,"08115004","Bondorf",2013
0.11656,"08115004","Bondorf",2014
0.11699,"08115004","Bondorf",2015
0.13436,"08115004","Bondorf",2016
0.11542,"08115004","Bondorf",2017
0.14074,"08115004","Bondorf",2018
0.10477,"08115004","Bondorf",2019
0.01944,"08115010","Deckenpfronn",1998
0.03005,"08115010","Deckenpfronn",1999
0.03587,"08115010","Deckenpfronn",2000
0.07894,"08115010","Deckenpfronn",2001
0.11922,"08115010","Deckenpfronn",2002
0.11773,"08115010","Deckenpfronn",2003
0.05763,"08115010","Deckenpfronn",2004
0.06122,"08115010","Deckenpfronn",2005
0.07165,"08115010","Deckenpfronn",2006
0.06995,"08115010","Deckenpfronn",2007
0.05906,"08115010","Deckenpfronn",2008
0.06887,"08115010","Deckenpfronn",2009
0.07275,"08115010","Deckenpfronn",2010
0.05506,"08115010","Deckenpfronn",2011
0.12592,"08115010","Deckenpfronn",2012
0.12594,"08115010","Deckenpfronn",2013
0.09927,"08115010","Deckenpfronn",2014
0.0891,"08115010","Deckenpfronn",2015
0.10674,"08115010","Deckenpfronn",2016
0.07553,"08115010","Deckenpfronn",2017
0.11976,"08115010","Deckenpfronn",2018
0.08521,"08115010","Deckenpfronn",2019
0.00126,"08115013","Ehningen",1998
0.01052,"08115013","Ehningen",1999
0.0214,"08115013","Ehningen",2000
0.02501,"08115013","Ehningen",2001
0.05842,"08115013","Ehningen",2002
0.07608,"08115013","Ehningen",2003
0.01065,"08115013","Ehningen",2004
0.0177,"08115013","Ehningen",2005
