"gisd_score","gemeinde_id","gemeinde_name","year"
0.46444,"09161000","Ingolstadt",1998
0.44491,"09161000","Ingolstadt",1999
0.49546,"09161000","Ingolstadt",2000
0.47535,"09161000","Ingolstadt",2001
0.53272,"09161000","Ingolstadt",2002
0.49676,"09161000","Ingolstadt",2003
0.44161,"09161000","Ingolstadt",2004
0.44198,"09161000","Ingolstadt",2005
0.45775,"09161000","Ingolstadt",2006
0.50092,"09161000","Ingolstadt",2007
0.50476,"09161000","Ingolstadt",2008
0.48288,"09161000","Ingolstadt",2009
0.46407,"09161000","Ingolstadt",2010
0.43034,"09161000","Ingolstadt",2011
0.4198,"09161000","Ingolstadt",2012
0.35339,"09161000","Ingolstadt",2013
0.33522,"09161000","Ingolstadt",2014
0.28367,"09161000","Ingolstadt",2015
0.24237,"09161000","Ingolstadt",2016
0.27892,"09161000","Ingolstadt",2017
0.27581,"09161000","Ingolstadt",2018
0.26234,"09161000","Ingolstadt",2019
0.23985,"09162000","München, Landeshauptstadt",1998
0.20684,"09162000","München, Landeshauptstadt",1999
0.15211,"09162000","München, Landeshauptstadt",2000
0.19257,"09162000","München, Landeshauptstadt",2001
0.19675,"09162000","München, Landeshauptstadt",2002
0.23791,"09162000","München, Landeshauptstadt",2003
0.21337,"09162000","München, Landeshauptstadt",2004
0.25026,"09162000","München, Landeshauptstadt",2005
0.27565,"09162000","München, Landeshauptstadt",2006
0.30031,"09162000","München, Landeshauptstadt",2007
0.29195,"09162000","München, Landeshauptstadt",2008
0.28836,"09162000","München, Landeshauptstadt",2009
0.2935,"09162000","München, Landeshauptstadt",2010
0.27603,"09162000","München, Landeshauptstadt",2011
0.23565,"09162000","München, Landeshauptstadt",2012
0.23321,"09162000","München, Landeshauptstadt",2013
0.17167,"09162000","München, Landeshauptstadt",2014
0.18631,"09162000","München, Landeshauptstadt",2015
0.09512,"09162000","München, Landeshauptstadt",2016
0.12944,"09162000","München, Landeshauptstadt",2017
0.09087,"09162000","München, Landeshauptstadt",2018
0.08716,"09162000","München, Landeshauptstadt",2019
0.64757,"09163000","Rosenheim",1998
0.71692,"09163000","Rosenheim",1999
0.69636,"09163000","Rosenheim",2000
0.6554,"09163000","Rosenheim",2001
0.62397,"09163000","Rosenheim",2002
0.60659,"09163000","Rosenheim",2003
0.56463,"09163000","Rosenheim",2004
0.60835,"09163000","Rosenheim",2005
0.65283,"09163000","Rosenheim",2006
0.72011,"09163000","Rosenheim",2007
0.71361,"09163000","Rosenheim",2008
0.71285,"09163000","Rosenheim",2009
0.7327,"09163000","Rosenheim",2010
0.68049,"09163000","Rosenheim",2011
0.74232,"09163000","Rosenheim",2012
0.74012,"09163000","Rosenheim",2013
0.73738,"09163000","Rosenheim",2014
0.6926,"09163000","Rosenheim",2015
0.6684,"09163000","Rosenheim",2016
0.63613,"09163000","Rosenheim",2017
0.66813,"09163000","Rosenheim",2018
0.62735,"09163000","Rosenheim",2019
0.54205,"09171111","Altötting, Stadt",1998
0.60115,"09171111","Altötting, Stadt",1999
0.60979,"09171111","Altötting, Stadt",2000
0.67604,"09171111","Altötting, Stadt",2001
0.61592,"09171111","Altötting, Stadt",2002
0.59366,"09171111","Altötting, Stadt",2003
0.58408,"09171111","Altötting, Stadt",2004
0.57233,"09171111","Altötting, Stadt",2005
0.56604,"09171111","Altötting, Stadt",2006
0.57496,"09171111","Altötting, Stadt",2007
0.56261,"09171111","Altötting, Stadt",2008
0.56811,"09171111","Altötting, Stadt",2009
0.57257,"09171111","Altötting, Stadt",2010
0.55696,"09171111","Altötting, Stadt",2011
0.59502,"09171111","Altötting, Stadt",2012
0.63696,"09171111","Altötting, Stadt",2013
0.61899,"09171111","Altötting, Stadt",2014
0.62254,"09171111","Altötting, Stadt",2015
0.6191,"09171111","Altötting, Stadt",2016
0.60987,"09171111","Altötting, Stadt",2017
0.58657,"09171111","Altötting, Stadt",2018
0.57161,"09171111","Altötting, Stadt",2019
0.52053,"09171112","Burghausen, Stadt",1998
0.58052,"09171112","Burghausen, Stadt",1999
0.58574,"09171112","Burghausen, Stadt",2000
