kreis_id,kreis_name,year,gisd_score
12051,"Brandenburg an der Havel, Stadt",1998,1
12051,"Brandenburg an der Havel, Stadt",1999,1
12051,"Brandenburg an der Havel, Stadt",2000,1
12051,"Brandenburg an der Havel, Stadt",2001,0.93212
12051,"Brandenburg an der Havel, Stadt",2002,0.94675
12051,"Brandenburg an der Havel, Stadt",2003,0.91188
12051,"Brandenburg an der Havel, Stadt",2004,0.8217
12051,"Brandenburg an der Havel, Stadt",2005,0.80755
12051,"Brandenburg an der Havel, Stadt",2006,0.89335
12051,"Brandenburg an der Havel, Stadt",2007,1
12051,"Brandenburg an der Havel, Stadt",2008,0.84826
12051,"Brandenburg an der Havel, Stadt",2009,0.92413
12051,"Brandenburg an der Havel, Stadt",2010,0.90975
12051,"Brandenburg an der Havel, Stadt",2011,0.92858
12051,"Brandenburg an der Havel, Stadt",2012,0.84807
12051,"Brandenburg an der Havel, Stadt",2013,0.88598
12051,"Brandenburg an der Havel, Stadt",2014,0.87426
12051,"Brandenburg an der Havel, Stadt",2015,0.97675
12051,"Brandenburg an der Havel, Stadt",2016,0.88694
12051,"Brandenburg an der Havel, Stadt",2017,0.91538
12051,"Brandenburg an der Havel, Stadt",2018,0.90622
12051,"Brandenburg an der Havel, Stadt",2019,0.88445
12051,"Brandenburg an der Havel, Stadt",2020,0.8912
12051,"Brandenburg an der Havel, Stadt",2021,0.82245
12052,"Cottbus, Stadt",1998,0.49986
12052,"Cottbus, Stadt",1999,0.41751
12052,"Cottbus, Stadt",2000,0.44021
12052,"Cottbus, Stadt",2001,0.40437
12052,"Cottbus, Stadt",2002,0.31177
12052,"Cottbus, Stadt",2003,0.31254
12052,"Cottbus, Stadt",2004,0.25545
12052,"Cottbus, Stadt",2005,0.29592
12052,"Cottbus, Stadt",2006,0.33203
12052,"Cottbus, Stadt",2007,0.47497
12052,"Cottbus, Stadt",2008,0.41362
12052,"Cottbus, Stadt",2009,0.4369
12052,"Cottbus, Stadt",2010,0.40116
12052,"Cottbus, Stadt",2011,0.41275
12052,"Cottbus, Stadt",2012,0.52391
12052,"Cottbus, Stadt",2013,0.57114
12052,"Cottbus, Stadt",2014,0.53117
12052,"Cottbus, Stadt",2015,0.58606
12052,"Cottbus, Stadt",2016,0.55865
12052,"Cottbus, Stadt",2017,0.62092
12052,"Cottbus, Stadt",2018,0.64772
12052,"Cottbus, Stadt",2019,0.51731
12052,"Cottbus, Stadt",2020,0.50239
12052,"Cottbus, Stadt",2021,0.53332
12053,"Frankfurt (Oder), Stadt",1998,0.68009
12053,"Frankfurt (Oder), Stadt",1999,0.66012
12053,"Frankfurt (Oder), Stadt",2000,0.70563
12053,"Frankfurt (Oder), Stadt",2001,0.77076
12053,"Frankfurt (Oder), Stadt",2002,0.63487
12053,"Frankfurt (Oder), Stadt",2003,0.67824
12053,"Frankfurt (Oder), Stadt",2004,0.68343
12053,"Frankfurt (Oder), Stadt",2005,0.61749
12053,"Frankfurt (Oder), Stadt",2006,0.5996
12053,"Frankfurt (Oder), Stadt",2007,0.64581
12053,"Frankfurt (Oder), Stadt",2008,0.67555
12053,"Frankfurt (Oder), Stadt",2009,0.71568
12053,"Frankfurt (Oder), Stadt",2010,0.6392
12053,"Frankfurt (Oder), Stadt",2011,0.60854
12053,"Frankfurt (Oder), Stadt",2012,0.73752
12053,"Frankfurt (Oder), Stadt",2013,0.74807
12053,"Frankfurt (Oder), Stadt",2014,0.71484
12053,"Frankfurt (Oder), Stadt",2015,0.65878
12053,"Frankfurt (Oder), Stadt",2016,0.62662
12053,"Frankfurt (Oder), Stadt",2017,0.70439
12053,"Frankfurt (Oder), Stadt",2018,0.76022
12053,"Frankfurt (Oder), Stadt",2019,0.73387
12053,"Frankfurt (Oder), Stadt",2020,0.64874
12053,"Frankfurt (Oder), Stadt",2021,0.70289
12054,"Potsdam, Stadt",1998,0
12054,"Potsdam, Stadt",1999,0
12054,"Potsdam, Stadt",2000,0
12054,"Potsdam, Stadt",2001,0
12054,"Potsdam, Stadt",2002,0
12054,"Potsdam, Stadt",2003,0
12054,"Potsdam, Stadt",2004,0
12054,"Potsdam, Stadt",2005,0
12054,"Potsdam, Stadt",2006,0
12054,"Potsdam, Stadt",2007,0
12054,"Potsdam, Stadt",2008,0
12054,"Potsdam, Stadt",2009,0
12054,"Potsdam, Stadt",2010,0
12054,"Potsdam, Stadt",2011,0
12054,"Potsdam, Stadt",2012,0
12054,"Potsdam, Stadt",2013,0
12054,"Potsdam, Stadt",2014,0
12054,"Potsdam, Stadt",2015,0
12054,"Potsdam, Stadt",2016,0
12054,"Potsdam, Stadt",2017,0
12054,"Potsdam, Stadt",2018,0
12054,"Potsdam, Stadt",2019,0
12054,"Potsdam, Stadt",2020,0
12054,"Potsdam, Stadt",2021,0
12060,Barnim,1998,0.76201
12060,Barnim,1999,0.74119
12060,Barnim,2000,0.72522
12060,Barnim,2001,0.66725
12060,Barnim,2002,0.69621
12060,Barnim,2003,0.61314
12060,Barnim,2004,0.54469
12060,Barnim,2005,0.47974
12060,Barnim,2006,0.48455
12060,Barnim,2007,0.54925
12060,Barnim,2008,0.53381
12060,Barnim,2009,0.50878
12060,Barnim,2010,0.38322
12060,Barnim,2011,0.46704
12060,Barnim,2012,0.5386
12060,Barnim,2013,0.49957
12060,Barnim,2014,0.49047
12060,Barnim,2015,0.4789
12060,Barnim,2016,0.45159
12060,Barnim,2017,0.50064
12060,Barnim,2018,0.50365
12060,Barnim,2019,0.43632
12060,Barnim,2020,0.4607
12060,Barnim,2021,0.45731
12061,Dahme-Spreewald,1998,0.40507
12061,Dahme-Spreewald,1999,0.4013
12061,Dahme-Spreewald,2000,0.31462
12061,Dahme-Spreewald,2001,0.31897
12061,Dahme-Spreewald,2002,0.35397
12061,Dahme-Spreewald,2003,0.34167
12061,Dahme-Spreewald,2004,0.27654
12061,Dahme-Spreewald,2005,0.28073
12061,Dahme-Spreewald,2006,0.25272
12061,Dahme-Spreewald,2007,0.2997
12061,Dahme-Spreewald,2008,0.28677
12061,Dahme-Spreewald,2009,0.28761
12061,Dahme-Spreewald,2010,0.24356
12061,Dahme-Spreewald,2011,0.19558
12061,Dahme-Spreewald,2012,0.28732
12061,Dahme-Spreewald,2013,0.36438
12061,Dahme-Spreewald,2014,0.31261
12061,Dahme-Spreewald,2015,0.34344
12061,Dahme-Spreewald,2016,0.30883
12061,Dahme-Spreewald,2017,0.3042
12061,Dahme-Spreewald,2018,0.32615
12061,Dahme-Spreewald,2019,0.25471
12061,Dahme-Spreewald,2020,0.2607
12061,Dahme-Spreewald,2021,0.28696
12062,Elbe-Elster,1998,0.68852
12062,Elbe-Elster,1999,0.667
12062,Elbe-Elster,2000,0.67773
12062,Elbe-Elster,2001,0.71162
12062,Elbe-Elster,2002,0.73849
12062,Elbe-Elster,2003,0.78462
12062,Elbe-Elster,2004,0.73712
12062,Elbe-Elster,2005,0.69558
12062,Elbe-Elster,2006,0.73034
12062,Elbe-Elster,2007,0.7748
12062,Elbe-Elster,2008,0.88348
12062,Elbe-Elster,2009,0.85048
12062,Elbe-Elster,2010,0.67419
12062,Elbe-Elster,2011,0.75024
12062,Elbe-Elster,2012,0.74832
12062,Elbe-Elster,2013,0.7773
12062,Elbe-Elster,2014,0.70149
12062,Elbe-Elster,2015,0.68592
12062,Elbe-Elster,2016,0.63106
12062,Elbe-Elster,2017,0.71533
12062,Elbe-Elster,2018,0.64786
12062,Elbe-Elster,2019,0.61164
12062,Elbe-Elster,2020,0.60897
12062,Elbe-Elster,2021,0.64476
12063,Havelland,1998,0.88839
12063,Havelland,1999,0.82634
12063,Havelland,2000,0.81479
12063,Havelland,2001,0.73964
12063,Havelland,2002,0.74082
12063,Havelland,2003,0.70172
12063,Havelland,2004,0.73478
12063,Havelland,2005,0.69693
12063,Havelland,2006,0.66151
12063,Havelland,2007,0.69634
12063,Havelland,2008,0.73496
12063,Havelland,2009,0.77852
12063,Havelland,2010,0.67732
12063,Havelland,2011,0.60891
12063,Havelland,2012,0.68399
12063,Havelland,2013,0.70272
12063,Havelland,2014,0.67619
12063,Havelland,2015,0.60969
12063,Havelland,2016,0.54988
12063,Havelland,2017,0.60186
12063,Havelland,2018,0.58444
12063,Havelland,2019,0.53491
12063,Havelland,2020,0.56207
12063,Havelland,2021,0.53026
12064,Märkisch-Oderland,1998,0.69273
12064,Märkisch-Oderland,1999,0.68449
12064,Märkisch-Oderland,2000,0.71182
12064,Märkisch-Oderland,2001,0.71781
12064,Märkisch-Oderland,2002,0.69316
12064,Märkisch-Oderland,2003,0.64911
12064,Märkisch-Oderland,2004,0.60361
12064,Märkisch-Oderland,2005,0.59023
12064,Märkisch-Oderland,2006,0.56306
12064,Märkisch-Oderland,2007,0.61837
12064,Märkisch-Oderland,2008,0.61392
12064,Märkisch-Oderland,2009,0.57868
12064,Märkisch-Oderland,2010,0.56421
12064,Märkisch-Oderland,2011,0.50664
12064,Märkisch-Oderland,2012,0.56759
12064,Märkisch-Oderland,2013,0.59805
12064,Märkisch-Oderland,2014,0.52447
12064,Märkisch-Oderland,2015,0.62452
12064,Märkisch-Oderland,2016,0.54591
12064,Märkisch-Oderland,2017,0.56135
12064,Märkisch-Oderland,2018,0.57916
12064,Märkisch-Oderland,2019,0.54955
12064,Märkisch-Oderland,2020,0.493
12064,Märkisch-Oderland,2021,0.53474
12065,Oberhavel,1998,0.60118
12065,Oberhavel,1999,0.55596
12065,Oberhavel,2000,0.52636
12065,Oberhavel,2001,0.54128
12065,Oberhavel,2002,0.50935
12065,Oberhavel,2003,0.47955
12065,Oberhavel,2004,0.4321
12065,Oberhavel,2005,0.42169
12065,Oberhavel,2006,0.41672
12065,Oberhavel,2007,0.4417
12065,Oberhavel,2008,0.51086
12065,Oberhavel,2009,0.5023
12065,Oberhavel,2010,0.43828
12065,Oberhavel,2011,0.4908
12065,Oberhavel,2012,0.44482
12065,Oberhavel,2013,0.47317
12065,Oberhavel,2014,0.47059
12065,Oberhavel,2015,0.44543
12065,Oberhavel,2016,0.43935
12065,Oberhavel,2017,0.4686
12065,Oberhavel,2018,0.39783
12065,Oberhavel,2019,0.37727
12065,Oberhavel,2020,0.35091
12065,Oberhavel,2021,0.40742
12066,Oberspreewald-Lausitz,1998,0.76163
12066,Oberspreewald-Lausitz,1999,0.74867
12066,Oberspreewald-Lausitz,2000,0.74965
12066,Oberspreewald-Lausitz,2001,0.81632
12066,Oberspreewald-Lausitz,2002,0.7389
12066,Oberspreewald-Lausitz,2003,0.71511
12066,Oberspreewald-Lausitz,2004,0.6701
12066,Oberspreewald-Lausitz,2005,0.70743
12066,Oberspreewald-Lausitz,2006,0.72042
12066,Oberspreewald-Lausitz,2007,0.70181
12066,Oberspreewald-Lausitz,2008,0.79573
12066,Oberspreewald-Lausitz,2009,0.80411
12066,Oberspreewald-Lausitz,2010,0.79451
12066,Oberspreewald-Lausitz,2011,0.71787
12066,Oberspreewald-Lausitz,2012,0.73675
12066,Oberspreewald-Lausitz,2013,0.71534
12066,Oberspreewald-Lausitz,2014,0.70211
12066,Oberspreewald-Lausitz,2015,0.70046
12066,Oberspreewald-Lausitz,2016,0.66993
12066,Oberspreewald-Lausitz,2017,0.66857
12066,Oberspreewald-Lausitz,2018,0.63986
12066,Oberspreewald-Lausitz,2019,0.6317
12066,Oberspreewald-Lausitz,2020,0.55714
12066,Oberspreewald-Lausitz,2021,0.70731
12067,Oder-Spree,1998,0.60616
12067,Oder-Spree,1999,0.56639
12067,Oder-Spree,2000,0.55596
12067,Oder-Spree,2001,0.57094
12067,Oder-Spree,2002,0.55383
12067,Oder-Spree,2003,0.55414
12067,Oder-Spree,2004,0.50576
12067,Oder-Spree,2005,0.54495
12067,Oder-Spree,2006,0.51188
12067,Oder-Spree,2007,0.55924
12067,Oder-Spree,2008,0.58694
12067,Oder-Spree,2009,0.59122
12067,Oder-Spree,2010,0.47835
12067,Oder-Spree,2011,0.45853
12067,Oder-Spree,2012,0.50101
12067,Oder-Spree,2013,0.54714
12067,Oder-Spree,2014,0.5372
12067,Oder-Spree,2015,0.58895
12067,Oder-Spree,2016,0.51879
12067,Oder-Spree,2017,0.56397
12067,Oder-Spree,2018,0.58644
12067,Oder-Spree,2019,0.51039
12067,Oder-Spree,2020,0.4867
12067,Oder-Spree,2021,0.50838
12068,Ostprignitz-Ruppin,1998,0.98381
12068,Ostprignitz-Ruppin,1999,0.948
12068,Ostprignitz-Ruppin,2000,0.91795
12068,Ostprignitz-Ruppin,2001,0.96859
12068,Ostprignitz-Ruppin,2002,0.91397
12068,Ostprignitz-Ruppin,2003,0.90367
12068,Ostprignitz-Ruppin,2004,0.90685
12068,Ostprignitz-Ruppin,2005,0.82461
12068,Ostprignitz-Ruppin,2006,0.87424
12068,Ostprignitz-Ruppin,2007,0.9431
