"gisd_score","gemeinde_id","gemeinde_name","year"
0.3612,"06411000","Darmstadt, Wissenschaftsstadt",1998
0.31877,"06411000","Darmstadt, Wissenschaftsstadt",1999
0.32091,"06411000","Darmstadt, Wissenschaftsstadt",2000
0.3473,"06411000","Darmstadt, Wissenschaftsstadt",2001
0.36738,"06411000","Darmstadt, Wissenschaftsstadt",2002
0.34242,"06411000","Darmstadt, Wissenschaftsstadt",2003
0.40071,"06411000","Darmstadt, Wissenschaftsstadt",2004
0.37254,"06411000","Darmstadt, Wissenschaftsstadt",2005
0.36737,"06411000","Darmstadt, Wissenschaftsstadt",2006
0.341,"06411000","Darmstadt, Wissenschaftsstadt",2007
0.34291,"06411000","Darmstadt, Wissenschaftsstadt",2008
0.29979,"06411000","Darmstadt, Wissenschaftsstadt",2009
0.30074,"06411000","Darmstadt, Wissenschaftsstadt",2010
0.3061,"06411000","Darmstadt, Wissenschaftsstadt",2011
0.26498,"06411000","Darmstadt, Wissenschaftsstadt",2012
0.26034,"06411000","Darmstadt, Wissenschaftsstadt",2013
0.27622,"06411000","Darmstadt, Wissenschaftsstadt",2014
0.29219,"06411000","Darmstadt, Wissenschaftsstadt",2015
0.27294,"06411000","Darmstadt, Wissenschaftsstadt",2016
0.22966,"06411000","Darmstadt, Wissenschaftsstadt",2017
0.22059,"06411000","Darmstadt, Wissenschaftsstadt",2018
0.24421,"06411000","Darmstadt, Wissenschaftsstadt",2019
0.4309,"06412000","Frankfurt am Main, Stadt",1998
0.40533,"06412000","Frankfurt am Main, Stadt",1999
0.40008,"06412000","Frankfurt am Main, Stadt",2000
0.40613,"06412000","Frankfurt am Main, Stadt",2001
0.43175,"06412000","Frankfurt am Main, Stadt",2002
0.42212,"06412000","Frankfurt am Main, Stadt",2003
0.43507,"06412000","Frankfurt am Main, Stadt",2004
0.42492,"06412000","Frankfurt am Main, Stadt",2005
0.44909,"06412000","Frankfurt am Main, Stadt",2006
0.43923,"06412000","Frankfurt am Main, Stadt",2007
0.3926,"06412000","Frankfurt am Main, Stadt",2008
0.37062,"06412000","Frankfurt am Main, Stadt",2009
0.37459,"06412000","Frankfurt am Main, Stadt",2010
