"gisd_score","gemeinde_id","gemeinde_name","year"
0.10117,"13003000","Rostock, Hansestadt",1998
0,"13003000","Rostock, Hansestadt",1999
0,"13003000","Rostock, Hansestadt",2000
0.01678,"13003000","Rostock, Hansestadt",2001
0.04551,"13003000","Rostock, Hansestadt",2002
0.00839,"13003000","Rostock, Hansestadt",2003
0.01887,"13003000","Rostock, Hansestadt",2004
0.11326,"13003000","Rostock, Hansestadt",2005
0.19447,"13003000","Rostock, Hansestadt",2006
0.2253,"13003000","Rostock, Hansestadt",2007
0.22201,"13003000","Rostock, Hansestadt",2008
0.20864,"13003000","Rostock, Hansestadt",2009
0.19543,"13003000","Rostock, Hansestadt",2010
0.28257,"13003000","Rostock, Hansestadt",2011
0.14614,"13003000","Rostock, Hansestadt",2012
0.32073,"13003000","Rostock, Hansestadt",2013
0.23174,"13003000","Rostock, Hansestadt",2014
0.32157,"13003000","Rostock, Hansestadt",2015
0.31221,"13003000","Rostock, Hansestadt",2016
0.27803,"13003000","Rostock, Hansestadt",2017
0.26201,"13003000","Rostock, Hansestadt",2018
0.25907,"13003000","Rostock, Hansestadt",2019
0,"13004000","Schwerin, Landeshauptstadt",1998
0.14641,"13004000","Schwerin, Landeshauptstadt",1999
0.11018,"13004000","Schwerin, Landeshauptstadt",2000
0.07936,"13004000","Schwerin, Landeshauptstadt",2001
0,"13004000","Schwerin, Landeshauptstadt",2002
0.03609,"13004000","Schwerin, Landeshauptstadt",2003
0,"13004000","Schwerin, Landeshauptstadt",2004
0.11198,"13004000","Schwerin, Landeshauptstadt",2005
0.31881,"13004000","Schwerin, Landeshauptstadt",2006
0.43676,"13004000","Schwerin, Landeshauptstadt",2007
0.29687,"13004000","Schwerin, Landeshauptstadt",2008
0.26072,"13004000","Schwerin, Landeshauptstadt",2009
0.52708,"13004000","Schwerin, Landeshauptstadt",2010
0.35554,"13004000","Schwerin, Landeshauptstadt",2011
0.27443,"13004000","Schwerin, Landeshauptstadt",2012
0.39447,"13004000","Schwerin, Landeshauptstadt",2013
0.35725,"13004000","Schwerin, Landeshauptstadt",2014
0.43097,"13004000","Schwerin, Landeshauptstadt",2015
0.43687,"13004000","Schwerin, Landeshauptstadt",2016
0.39954,"13004000","Schwerin, Landeshauptstadt",2017
0.48234,"13004000","Schwerin, Landeshauptstadt",2018
0.46102,"13004000","Schwerin, Landeshauptstadt",2019
0.40234,"13071001","Alt Schwerin",1998
0.60866,"13071001","Alt Schwerin",1999
0.66115,"13071001","Alt Schwerin",2000
0.48686,"13071001","Alt Schwerin",2001
0.49978,"13071001","Alt Schwerin",2002
0.4557,"13071001","Alt Schwerin",2003
0.48245,"13071001","Alt Schwerin",2004
0.42651,"13071001","Alt Schwerin",2005
0.4672,"13071001","Alt Schwerin",2006
0.54317,"13071001","Alt Schwerin",2007
0.46351,"13071001","Alt Schwerin",2008
0.51591,"13071001","Alt Schwerin",2009
0.49276,"13071001","Alt Schwerin",2010
0.53807,"13071001","Alt Schwerin",2011
0.4872,"13071001","Alt Schwerin",2012
0.45105,"13071001","Alt Schwerin",2013
0.49693,"13071001","Alt Schwerin",2014
0.51639,"13071001","Alt Schwerin",2015
0.51815,"13071001","Alt Schwerin",2016
0.46771,"13071001","Alt Schwerin",2017
0.5206,"13071001","Alt Schwerin",2018
0.4638,"13071001","Alt Schwerin",2019
0.38293,"13071002","Altenhagen",1998
0.57786,"13071002","Altenhagen",1999
0.65862,"13071002","Altenhagen",2000
0.60248,"13071002","Altenhagen",2001
0.57609,"13071002","Altenhagen",2002
0.51661,"13071002","Altenhagen",2003
0.59222,"13071002","Altenhagen",2004
0.54815,"13071002","Altenhagen",2005
0.59,"13071002","Altenhagen",2006
0.66658,"13071002","Altenhagen",2007
0.6107,"13071002","Altenhagen",2008
0.63098,"13071002","Altenhagen",2009
0.60318,"13071002","Altenhagen",2010
0.65896,"13071002","Altenhagen",2011
0.64589,"13071002","Altenhagen",2012
0.5752,"13071002","Altenhagen",2013
0.56607,"13071002","Altenhagen",2014
0.62077,"13071002","Altenhagen",2015
0.62343,"13071002","Altenhagen",2016
0.58105,"13071002","Altenhagen",2017
0.58939,"13071002","Altenhagen",2018
0.52383,"13071002","Altenhagen",2019
0.37404,"13071003","Altenhof",1998
0.56388,"13071003","Altenhof",1999
0.64279,"13071003","Altenhof",2000
0.38238,"13071003","Altenhof",2001
0.43138,"13071003","Altenhof",2002
0.35856,"13071003","Altenhof",2003
0.39627,"13071003","Altenhof",2004
0.34637,"13071003","Altenhof",2005
0.42794,"13071003","Altenhof",2006
0.48416,"13071003","Altenhof",2007
0.4244,"13071003","Altenhof",2008
0.47627,"13071003","Altenhof",2009
0.45895,"13071003","Altenhof",2010
0.50894,"13071003","Altenhof",2011
0.46831,"13071003","Altenhof",2012
0.42052,"13071003","Altenhof",2013
0.46309,"13071003","Altenhof",2014
0.506,"13071003","Altenhof",2015
0.51747,"13071003","Altenhof",2016
