kreis_id,kreis_name,year,gisd_score
13003,Rostock,1998,0.27971
13003,Rostock,1999,0
13003,Rostock,2000,0
13003,Rostock,2001,0
13003,Rostock,2002,0.08092
13003,Rostock,2003,0
13003,Rostock,2004,0.00659
13003,Rostock,2005,0
13003,Rostock,2006,0
13003,Rostock,2007,0
13003,Rostock,2008,0
13003,Rostock,2009,0
13003,Rostock,2010,0
13003,Rostock,2011,1.7e-4
13003,Rostock,2012,0
13003,Rostock,2013,0.20268
13003,Rostock,2014,0
13003,Rostock,2015,0.09128
13003,Rostock,2016,0.10316
13003,Rostock,2017,0.05081
13003,Rostock,2018,0.11018
13003,Rostock,2019,0.04286
13003,Rostock,2020,0.13191
13003,Rostock,2021,0.05497
13004,Schwerin,1998,0
13004,Schwerin,1999,0.17409
13004,Schwerin,2000,0.10455
13004,Schwerin,2001,0.13469
13004,Schwerin,2002,0
13004,Schwerin,2003,0.07225
13004,Schwerin,2004,0
13004,Schwerin,2005,0.04268
13004,Schwerin,2006,0.36261
13004,Schwerin,2007,0.59993
13004,Schwerin,2008,0.17513
13004,Schwerin,2009,0.10264
13004,Schwerin,2010,0.88175
13004,Schwerin,2011,0.26135
13004,Schwerin,2012,0.32563
13004,Schwerin,2013,0.44224
13004,Schwerin,2014,0.36184
13004,Schwerin,2015,0.38843
13004,Schwerin,2016,0.46508
13004,Schwerin,2017,0.40864
13004,Schwerin,2018,0.64679
13004,Schwerin,2019,0.60447
13004,Schwerin,2020,0.47766
13004,Schwerin,2021,0.62359
13071,Mecklenburgische Seenplatte,1998,0.69417
13071,Mecklenburgische Seenplatte,1999,0.6322
13071,Mecklenburgische Seenplatte,2000,0.68702
13071,Mecklenburgische Seenplatte,2001,0.82352
13071,Mecklenburgische Seenplatte,2002,0.81283
13071,Mecklenburgische Seenplatte,2003,0.70907
13071,Mecklenburgische Seenplatte,2004,0.74033
13071,Mecklenburgische Seenplatte,2005,0.67627
13071,Mecklenburgische Seenplatte,2006,0.6764
13071,Mecklenburgische Seenplatte,2007,0.91627
13071,Mecklenburgische Seenplatte,2008,0.71558
13071,Mecklenburgische Seenplatte,2009,0.83066
13071,Mecklenburgische Seenplatte,2010,0.83088
13071,Mecklenburgische Seenplatte,2011,0.94717
13071,Mecklenburgische Seenplatte,2012,1
13071,Mecklenburgische Seenplatte,2013,0.65819
13071,Mecklenburgische Seenplatte,2014,0.78561
13071,Mecklenburgische Seenplatte,2015,0.78697
13071,Mecklenburgische Seenplatte,2016,0.90606
13071,Mecklenburgische Seenplatte,2017,0.90606
13071,Mecklenburgische Seenplatte,2018,0.83999
13071,Mecklenburgische Seenplatte,2019,0.75458
13071,Mecklenburgische Seenplatte,2020,0.72626
13071,Mecklenburgische Seenplatte,2021,0.8579
13072,Landkreis Rostock,1998,0.51573
13072,Landkreis Rostock,1999,0.56439
13072,Landkreis Rostock,2000,0.52063
13072,Landkreis Rostock,2001,0.34506
13072,Landkreis Rostock,2002,0.64314
13072,Landkreis Rostock,2003,0.62048
13072,Landkreis Rostock,2004,0.66173
13072,Landkreis Rostock,2005,0.47418
13072,Landkreis Rostock,2006,0.37137
13072,Landkreis Rostock,2007,0.35417
13072,Landkreis Rostock,2008,0.2369
13072,Landkreis Rostock,2009,0.37894
13072,Landkreis Rostock,2010,0.34637
13072,Landkreis Rostock,2011,0
13072,Landkreis Rostock,2012,0.36982
13072,Landkreis Rostock,2013,0
13072,Landkreis Rostock,2014,0.1471
13072,Landkreis Rostock,2015,0
13072,Landkreis Rostock,2016,0
13072,Landkreis Rostock,2017,0
13072,Landkreis Rostock,2018,0
13072,Landkreis Rostock,2019,0
13072,Landkreis Rostock,2020,0
13072,Landkreis Rostock,2021,0
13073,Vorpommern-Rügen,1998,0.68105
13073,Vorpommern-Rügen,1999,0.67353
13073,Vorpommern-Rügen,2000,0.5628
13073,Vorpommern-Rügen,2001,0.66604
13073,Vorpommern-Rügen,2002,0.85445
13073,Vorpommern-Rügen,2003,0.93869
13073,Vorpommern-Rügen,2004,0.87471
13073,Vorpommern-Rügen,2005,0.74901
13073,Vorpommern-Rügen,2006,0.96312
13073,Vorpommern-Rügen,2007,0.76274
13073,Vorpommern-Rügen,2008,0.68905
13073,Vorpommern-Rügen,2009,0.51922
13073,Vorpommern-Rügen,2010,0.68369
13073,Vorpommern-Rügen,2011,0.69455
13073,Vorpommern-Rügen,2012,0.66072
13073,Vorpommern-Rügen,2013,0.689
13073,Vorpommern-Rügen,2014,0.76589
13073,Vorpommern-Rügen,2015,0.86663
13073,Vorpommern-Rügen,2016,0.79786
13073,Vorpommern-Rügen,2017,0.64698
13073,Vorpommern-Rügen,2018,0.76297
13073,Vorpommern-Rügen,2019,0.60244
13073,Vorpommern-Rügen,2020,0.77049
13073,Vorpommern-Rügen,2021,0.99768
13074,Nordwestmecklenburg,1998,0.70934
13074,Nordwestmecklenburg,1999,0.77214
13074,Nordwestmecklenburg,2000,0.80135
13074,Nordwestmecklenburg,2001,0.66537
13074,Nordwestmecklenburg,2002,0.81876
13074,Nordwestmecklenburg,2003,0.72439
13074,Nordwestmecklenburg,2004,0.64074
13074,Nordwestmecklenburg,2005,0.6414
13074,Nordwestmecklenburg,2006,0.72186
13074,Nordwestmecklenburg,2007,0.67668
13074,Nordwestmecklenburg,2008,0.61658
13074,Nordwestmecklenburg,2009,1
13074,Nordwestmecklenburg,2010,0.86656
13074,Nordwestmecklenburg,2011,0.89706
13074,Nordwestmecklenburg,2012,0.60002
13074,Nordwestmecklenburg,2013,0.3276
13074,Nordwestmecklenburg,2014,0.33841
13074,Nordwestmecklenburg,2015,0.48784
13074,Nordwestmecklenburg,2016,0.45825
13074,Nordwestmecklenburg,2017,0.53473
13074,Nordwestmecklenburg,2018,0.51273
13074,Nordwestmecklenburg,2019,0.24163
13074,Nordwestmecklenburg,2020,0.48098
13074,Nordwestmecklenburg,2021,0.51134
13075,Vorpommern-Greifswald,1998,1
13075,Vorpommern-Greifswald,1999,1
13075,Vorpommern-Greifswald,2000,1
13075,Vorpommern-Greifswald,2001,1
13075,Vorpommern-Greifswald,2002,1
13075,Vorpommern-Greifswald,2003,1
13075,Vorpommern-Greifswald,2004,1
13075,Vorpommern-Greifswald,2005,1
13075,Vorpommern-Greifswald,2006,1
13075,Vorpommern-Greifswald,2007,1
13075,Vorpommern-Greifswald,2008,1
13075,Vorpommern-Greifswald,2009,0.90742
13075,Vorpommern-Greifswald,2010,1
13075,Vorpommern-Greifswald,2011,1
13075,Vorpommern-Greifswald,2012,0.98563
13075,Vorpommern-Greifswald,2013,1
13075,Vorpommern-Greifswald,2014,1
13075,Vorpommern-Greifswald,2015,1
13075,Vorpommern-Greifswald,2016,1
13075,Vorpommern-Greifswald,2017,1
13075,Vorpommern-Greifswald,2018,1
13075,Vorpommern-Greifswald,2019,1
13075,Vorpommern-Greifswald,2020,1
13075,Vorpommern-Greifswald,2021,1
13076,Ludwigslust-Parchim,1998,0.76153
13076,Ludwigslust-Parchim,1999,0.59653
13076,Ludwigslust-Parchim,2000,0.6519
13076,Ludwigslust-Parchim,2001,0.42559
13076,Ludwigslust-Parchim,2002,0.57787
13076,Ludwigslust-Parchim,2003,0.51517
13076,Ludwigslust-Parchim,2004,0.49562
13076,Ludwigslust-Parchim,2005,0.41716
13076,Ludwigslust-Parchim,2006,0.38203
13076,Ludwigslust-Parchim,2007,0.60325
13076,Ludwigslust-Parchim,2008,0.48174
13076,Ludwigslust-Parchim,2009,0.39204
13076,Ludwigslust-Parchim,2010,0.4181
13076,Ludwigslust-Parchim,2011,0.66897
13076,Ludwigslust-Parchim,2012,0.39602
13076,Ludwigslust-Parchim,2013,0.2358
13076,Ludwigslust-Parchim,2014,0.42948
13076,Ludwigslust-Parchim,2015,0.40357
13076,Ludwigslust-Parchim,2016,0.22961
13076,Ludwigslust-Parchim,2017,0.3654
13076,Ludwigslust-Parchim,2018,0.54041
13076,Ludwigslust-Parchim,2019,0.41773
13076,Ludwigslust-Parchim,2020,0.53055
13076,Ludwigslust-Parchim,2021,0.74382
