"gisd_score","gemeinde_id","gemeinde_name","year"
0.26226,"03101000","Braunschweig, Stadt",1998
0.23869,"03101000","Braunschweig, Stadt",1999
0.18536,"03101000","Braunschweig, Stadt",2000
0.21203,"03101000","Braunschweig, Stadt",2001
0.21145,"03101000","Braunschweig, Stadt",2002
0.18714,"03101000","Braunschweig, Stadt",2003
0.16477,"03101000","Braunschweig, Stadt",2004
0.1503,"03101000","Braunschweig, Stadt",2005
0.17156,"03101000","Braunschweig, Stadt",2006
0.18282,"03101000","Braunschweig, Stadt",2007
0.21372,"03101000","Braunschweig, Stadt",2008
0.2926,"03101000","Braunschweig, Stadt",2009
0.25277,"03101000","Braunschweig, Stadt",2010
0.25229,"03101000","Braunschweig, Stadt",2011
0.25639,"03101000","Braunschweig, Stadt",2012
0.32573,"03101000","Braunschweig, Stadt",2013
0.31316,"03101000","Braunschweig, Stadt",2014
0.25735,"03101000","Braunschweig, Stadt",2015
0.21214,"03101000","Braunschweig, Stadt",2016
0.22094,"03101000","Braunschweig, Stadt",2017
0.20766,"03101000","Braunschweig, Stadt",2018
0.18904,"03101000","Braunschweig, Stadt",2019
0.65429,"03102000","Salzgitter, Stadt",1998
0.63911,"03102000","Salzgitter, Stadt",1999
0.55149,"03102000","Salzgitter, Stadt",2000
0.52456,"03102000","Salzgitter, Stadt",2001
0.49631,"03102000","Salzgitter, Stadt",2002
0.48666,"03102000","Salzgitter, Stadt",2003
0.42692,"03102000","Salzgitter, Stadt",2004
0.39243,"03102000","Salzgitter, Stadt",2005
0.49583,"03102000","Salzgitter, Stadt",2006
0.43134,"03102000","Salzgitter, Stadt",2007
0.54398,"03102000","Salzgitter, Stadt",2008
0.63333,"03102000","Salzgitter, Stadt",2009
0.5788,"03102000","Salzgitter, Stadt",2010
0.55883,"03102000","Salzgitter, Stadt",2011
0.47213,"03102000","Salzgitter, Stadt",2012
0.61295,"03102000","Salzgitter, Stadt",2013
0.64397,"03102000","Salzgitter, Stadt",2014
0.57556,"03102000","Salzgitter, Stadt",2015
0.61352,"03102000","Salzgitter, Stadt",2016
0.70737,"03102000","Salzgitter, Stadt",2017
0.75144,"03102000","Salzgitter, Stadt",2018
0.6717,"03102000","Salzgitter, Stadt",2019
0,"03103000","Wolfsburg, Stadt",1998
0,"03103000","Wolfsburg, Stadt",1999
0,"03103000","Wolfsburg, Stadt",2000
0,"03103000","Wolfsburg, Stadt",2001
0.1801,"03103000","Wolfsburg, Stadt",2002
0.12424,"03103000","Wolfsburg, Stadt",2003
0.03234,"03103000","Wolfsburg, Stadt",2004
0.06803,"03103000","Wolfsburg, Stadt",2005
0.07436,"03103000","Wolfsburg, Stadt",2006
0,"03103000","Wolfsburg, Stadt",2007
0,"03103000","Wolfsburg, Stadt",2008
0,"03103000","Wolfsburg, Stadt",2009
0,"03103000","Wolfsburg, Stadt",2010
0,"03103000","Wolfsburg, Stadt",2011
0,"03103000","Wolfsburg, Stadt",2012
0,"03103000","Wolfsburg, Stadt",2013
0,"03103000","Wolfsburg, Stadt",2014
0,"03103000","Wolfsburg, Stadt",2015
0,"03103000","Wolfsburg, Stadt",2016
0,"03103000","Wolfsburg, Stadt",2017
0,"03103000","Wolfsburg, Stadt",2018
0,"03103000","Wolfsburg, Stadt",2019
0.46838,"03151001","Adenbüttel",1998
0.4664,"03151001","Adenbüttel",1999
0.50937,"03151001","Adenbüttel",2000
0.41741,"03151001","Adenbüttel",2001
0.43095,"03151001","Adenbüttel",2002
0.41429,"03151001","Adenbüttel",2003
0.33406,"03151001","Adenbüttel",2004
0.25549,"03151001","Adenbüttel",2005
