"gisd_score","gemeinde_id","gemeinde_name","year"
0.1136,"05111000","Düsseldorf, Stadt",1998
0.11117,"05111000","Düsseldorf, Stadt",1999
0.11024,"05111000","Düsseldorf, Stadt",2000
0.11829,"05111000","Düsseldorf, Stadt",2001
0.13988,"05111000","Düsseldorf, Stadt",2002
0.13556,"05111000","Düsseldorf, Stadt",2003
0.12531,"05111000","Düsseldorf, Stadt",2004
0.15535,"05111000","Düsseldorf, Stadt",2005
0.11559,"05111000","Düsseldorf, Stadt",2006
0.11624,"05111000","Düsseldorf, Stadt",2007
0.09628,"05111000","Düsseldorf, Stadt",2008
0.14529,"05111000","Düsseldorf, Stadt",2009
0.11506,"05111000","Düsseldorf, Stadt",2010
0.13045,"05111000","Düsseldorf, Stadt",2011
0.07964,"05111000","Düsseldorf, Stadt",2012
0.08392,"05111000","Düsseldorf, Stadt",2013
0.08474,"05111000","Düsseldorf, Stadt",2014
0.03222,"05111000","Düsseldorf, Stadt",2015
0.00776,"05111000","Düsseldorf, Stadt",2016
0,"05111000","Düsseldorf, Stadt",2017
0,"05111000","Düsseldorf, Stadt",2018
0,"05111000","Düsseldorf, Stadt",2019
0.98779,"05112000","Duisburg, Stadt",1998
0.93096,"05112000","Duisburg, Stadt",1999
0.89595,"05112000","Duisburg, Stadt",2000
0.90249,"05112000","Duisburg, Stadt",2001
0.94296,"05112000","Duisburg, Stadt",2002
0.89573,"05112000","Duisburg, Stadt",2003
0.86729,"05112000","Duisburg, Stadt",2004
0.85433,"05112000","Duisburg, Stadt",2005
0.87409,"05112000","Duisburg, Stadt",2006
0.87407,"05112000","Duisburg, Stadt",2007
0.87591,"05112000","Duisburg, Stadt",2008
0.9017,"05112000","Duisburg, Stadt",2009
0.88146,"05112000","Duisburg, Stadt",2010
0.88491,"05112000","Duisburg, Stadt",2011
0.89212,"05112000","Duisburg, Stadt",2012
0.86275,"05112000","Duisburg, Stadt",2013
0.83254,"05112000","Duisburg, Stadt",2014
0.82755,"05112000","Duisburg, Stadt",2015
0.78643,"05112000","Duisburg, Stadt",2016
0.84673,"05112000","Duisburg, Stadt",2017
0.87841,"05112000","Duisburg, Stadt",2018
0.87279,"05112000","Duisburg, Stadt",2019
0.46589,"05113000","Essen, Stadt",1998
0.44537,"05113000","Essen, Stadt",1999
0.42537,"05113000","Essen, Stadt",2000
0.43516,"05113000","Essen, Stadt",2001
0.4419,"05113000","Essen, Stadt",2002
0.44898,"05113000","Essen, Stadt",2003
0.48086,"05113000","Essen, Stadt",2004
0.48938,"05113000","Essen, Stadt",2005
0.46022,"05113000","Essen, Stadt",2006
0.46989,"05113000","Essen, Stadt",2007
0.49588,"05113000","Essen, Stadt",2008
0.5212,"05113000","Essen, Stadt",2009
0.4937,"05113000","Essen, Stadt",2010
0.50615,"05113000","Essen, Stadt",2011
0.49008,"05113000","Essen, Stadt",2012
0.51371,"05113000","Essen, Stadt",2013
0.53428,"05113000","Essen, Stadt",2014
0.49302,"05113000","Essen, Stadt",2015
0.47502,"05113000","Essen, Stadt",2016
0.5174,"05113000","Essen, Stadt",2017
0.50602,"05113000","Essen, Stadt",2018
0.5039,"05113000","Essen, Stadt",2019
0.60542,"05114000","Krefeld, Stadt",1998
0.5594,"05114000","Krefeld, Stadt",1999
0.56313,"05114000","Krefeld, Stadt",2000
0.58363,"05114000","Krefeld, Stadt",2001
0.57778,"05114000","Krefeld, Stadt",2002
0.58115,"05114000","Krefeld, Stadt",2003
0.56342,"05114000","Krefeld, Stadt",2004
0.53172,"05114000","Krefeld, Stadt",2005
0.55974,"05114000","Krefeld, Stadt",2006
0.58841,"05114000","Krefeld, Stadt",2007
0.62093,"05114000","Krefeld, Stadt",2008
0.59411,"05114000","Krefeld, Stadt",2009
0.58725,"05114000","Krefeld, Stadt",2010
0.51739,"05114000","Krefeld, Stadt",2011
0.57534,"05114000","Krefeld, Stadt",2012
0.57377,"05114000","Krefeld, Stadt",2013
0.56802,"05114000","Krefeld, Stadt",2014
0.5714,"05114000","Krefeld, Stadt",2015
0.53354,"05114000","Krefeld, Stadt",2016
0.56279,"05114000","Krefeld, Stadt",2017
0.6278,"05114000","Krefeld, Stadt",2018
0.57663,"05114000","Krefeld, Stadt",2019
0.70972,"05116000","Mönchengladbach, Stadt",1998
0.67978,"05116000","Mönchengladbach, Stadt",1999
0.63195,"05116000","Mönchengladbach, Stadt",2000
0.6847,"05116000","Mönchengladbach, Stadt",2001
0.67087,"05116000","Mönchengladbach, Stadt",2002
0.67506,"05116000","Mönchengladbach, Stadt",2003
0.65615,"05116000","Mönchengladbach, Stadt",2004
0.65047,"05116000","Mönchengladbach, Stadt",2005
