gvb_id,gvb_name,year,gisd_score
100410100,"Saarbrücken, Landeshauptstadt",1998,0.8829
100410100,"Saarbrücken, Landeshauptstadt",1999,0.91167
100410100,"Saarbrücken, Landeshauptstadt",2000,0.91139
100410100,"Saarbrücken, Landeshauptstadt",2001,0.77922
100410100,"Saarbrücken, Landeshauptstadt",2002,0.58155
100410100,"Saarbrücken, Landeshauptstadt",2003,0.68493
100410100,"Saarbrücken, Landeshauptstadt",2004,0.76609
100410100,"Saarbrücken, Landeshauptstadt",2005,0.61796
100410100,"Saarbrücken, Landeshauptstadt",2006,0.64127
100410100,"Saarbrücken, Landeshauptstadt",2007,0.66027
100410100,"Saarbrücken, Landeshauptstadt",2008,0.62824
100410100,"Saarbrücken, Landeshauptstadt",2009,0.65245
100410100,"Saarbrücken, Landeshauptstadt",2010,0.61547
100410100,"Saarbrücken, Landeshauptstadt",2011,0.62492
100410100,"Saarbrücken, Landeshauptstadt",2012,0.53123
100410100,"Saarbrücken, Landeshauptstadt",2013,0.56053
100410100,"Saarbrücken, Landeshauptstadt",2014,0.57985
100410100,"Saarbrücken, Landeshauptstadt",2015,0.63135
100410100,"Saarbrücken, Landeshauptstadt",2016,0.62241
100410100,"Saarbrücken, Landeshauptstadt",2017,0.57593
100410100,"Saarbrücken, Landeshauptstadt",2018,0.67563
100410100,"Saarbrücken, Landeshauptstadt",2019,0.68707
100410100,"Saarbrücken, Landeshauptstadt",2020,0.70786
100410100,"Saarbrücken, Landeshauptstadt",2021,0.65987
100410511,"Friedrichsthal, Stadt",1998,0.89346
100410511,"Friedrichsthal, Stadt",1999,0.92754
100410511,"Friedrichsthal, Stadt",2000,0.92333
100410511,"Friedrichsthal, Stadt",2001,0.74752
100410511,"Friedrichsthal, Stadt",2002,0.53099
100410511,"Friedrichsthal, Stadt",2003,0.64539
100410511,"Friedrichsthal, Stadt",2004,0.71866
100410511,"Friedrichsthal, Stadt",2005,0.58087
100410511,"Friedrichsthal, Stadt",2006,0.60497
100410511,"Friedrichsthal, Stadt",2007,0.62238
100410511,"Friedrichsthal, Stadt",2008,0.57933
100410511,"Friedrichsthal, Stadt",2009,0.60068
100410511,"Friedrichsthal, Stadt",2010,0.56763
100410511,"Friedrichsthal, Stadt",2011,0.55447
100410511,"Friedrichsthal, Stadt",2012,0.45792
100410511,"Friedrichsthal, Stadt",2013,0.49469
100410511,"Friedrichsthal, Stadt",2014,0.50946
100410511,"Friedrichsthal, Stadt",2015,0.55217
100410511,"Friedrichsthal, Stadt",2016,0.56041
100410511,"Friedrichsthal, Stadt",2017,0.5
100410511,"Friedrichsthal, Stadt",2018,0.59574
100410511,"Friedrichsthal, Stadt",2019,0.59738
100410511,"Friedrichsthal, Stadt",2020,0.61253
100410511,"Friedrichsthal, Stadt",2021,0.56605
100410512,Großrosseln,1998,0.90141
100410512,Großrosseln,1999,0.93588
100410512,Großrosseln,2000,0.93075
100410512,Großrosseln,2001,0.72987
100410512,Großrosseln,2002,0.52267
100410512,Großrosseln,2003,0.63184
100410512,Großrosseln,2004,0.70395
100410512,Großrosseln,2005,0.55746
100410512,Großrosseln,2006,0.57534
100410512,Großrosseln,2007,0.60365
100410512,Großrosseln,2008,0.56309
100410512,Großrosseln,2009,0.58302
100410512,Großrosseln,2010,0.55241
100410512,Großrosseln,2011,0.55878
100410512,Großrosseln,2012,0.48896
100410512,Großrosseln,2013,0.51649
100410512,Großrosseln,2014,0.52641
100410512,Großrosseln,2015,0.58071
100410512,Großrosseln,2016,0.5864
100410512,Großrosseln,2017,0.52893
100410512,Großrosseln,2018,0.62448
100410512,Großrosseln,2019,0.62326
100410512,Großrosseln,2020,0.64501
100410512,Großrosseln,2021,0.60639
100410513,Heusweiler,1998,0.88115
100410513,Heusweiler,1999,0.91204
100410513,Heusweiler,2000,0.91428
100410513,Heusweiler,2001,0.73997
100410513,Heusweiler,2002,0.54856
100410513,Heusweiler,2003,0.65737
100410513,Heusweiler,2004,0.73004
100410513,Heusweiler,2005,0.58501
100410513,Heusweiler,2006,0.59557
100410513,Heusweiler,2007,0.6319
100410513,Heusweiler,2008,0.59167
100410513,Heusweiler,2009,0.60953
100410513,Heusweiler,2010,0.5726
100410513,Heusweiler,2011,0.53064
100410513,Heusweiler,2012,0.44381
100410513,Heusweiler,2013,0.48034
100410513,Heusweiler,2014,0.49743
100410513,Heusweiler,2015,0.54548
100410513,Heusweiler,2016,0.5552
100410513,Heusweiler,2017,0.49637
100410513,Heusweiler,2018,0.59716
100410513,Heusweiler,2019,0.59907
100410513,Heusweiler,2020,0.60476
100410513,Heusweiler,2021,0.56213
100410514,Kleinblittersdorf,1998,0.91328
100410514,Kleinblittersdorf,1999,0.95227
100410514,Kleinblittersdorf,2000,0.94636
100410514,Kleinblittersdorf,2001,0.7383
100410514,Kleinblittersdorf,2002,0.56501
100410514,Kleinblittersdorf,2003,0.67832
100410514,Kleinblittersdorf,2004,0.76002
100410514,Kleinblittersdorf,2005,0.6106
100410514,Kleinblittersdorf,2006,0.62323
100410514,Kleinblittersdorf,2007,0.64456
100410514,Kleinblittersdorf,2008,0.60382
100410514,Kleinblittersdorf,2009,0.61647
100410514,Kleinblittersdorf,2010,0.58497
100410514,Kleinblittersdorf,2011,0.55042
100410514,Kleinblittersdorf,2012,0.45955
100410514,Kleinblittersdorf,2013,0.46074
100410514,Kleinblittersdorf,2014,0.48629
100410514,Kleinblittersdorf,2015,0.53571
100410514,Kleinblittersdorf,2016,0.53588
100410514,Kleinblittersdorf,2017,0.47664
100410514,Kleinblittersdorf,2018,0.57315
100410514,Kleinblittersdorf,2019,0.56583
100410514,Kleinblittersdorf,2020,0.57925
100410514,Kleinblittersdorf,2021,0.53698
100410515,"Püttlingen, Stadt",1998,0.88573
100410515,"Püttlingen, Stadt",1999,0.91495
