kreis_id,kreis_name,year,gisd_score
16051,"Erfurt, Stadt",1998,0.66752
16051,"Erfurt, Stadt",1999,0.65312
16051,"Erfurt, Stadt",2000,0.63073
16051,"Erfurt, Stadt",2001,0.62281
16051,"Erfurt, Stadt",2002,0.58285
16051,"Erfurt, Stadt",2003,0.55822
16051,"Erfurt, Stadt",2004,0.64346
16051,"Erfurt, Stadt",2005,0.66667
16051,"Erfurt, Stadt",2006,0.63814
16051,"Erfurt, Stadt",2007,0.68162
16051,"Erfurt, Stadt",2008,0.69642
16051,"Erfurt, Stadt",2009,0.67071
16051,"Erfurt, Stadt",2010,0.68586
16051,"Erfurt, Stadt",2011,0.65613
16051,"Erfurt, Stadt",2012,0.62427
16051,"Erfurt, Stadt",2013,0.59271
16051,"Erfurt, Stadt",2014,0.58928
16051,"Erfurt, Stadt",2015,0.64414
16051,"Erfurt, Stadt",2016,0.56084
16051,"Erfurt, Stadt",2017,0.74241
16051,"Erfurt, Stadt",2018,0.67864
16051,"Erfurt, Stadt",2019,0.6387
16051,"Erfurt, Stadt",2020,0.64175
16051,"Erfurt, Stadt",2021,0.66061
16052,"Gera, Stadt",1998,0.81189
16052,"Gera, Stadt",1999,0.78028
16052,"Gera, Stadt",2000,0.72372
16052,"Gera, Stadt",2001,0.76594
16052,"Gera, Stadt",2002,0.67234
16052,"Gera, Stadt",2003,0.69228
16052,"Gera, Stadt",2004,0.72372
16052,"Gera, Stadt",2005,0.77721
16052,"Gera, Stadt",2006,0.77829
16052,"Gera, Stadt",2007,0.83939
16052,"Gera, Stadt",2008,0.85749
16052,"Gera, Stadt",2009,1
16052,"Gera, Stadt",2010,0.90024
16052,"Gera, Stadt",2011,0.91183
16052,"Gera, Stadt",2012,0.85282
16052,"Gera, Stadt",2013,0.79814
16052,"Gera, Stadt",2014,0.81148
16052,"Gera, Stadt",2015,0.85019
16052,"Gera, Stadt",2016,0.8143
16052,"Gera, Stadt",2017,0.90745
16052,"Gera, Stadt",2018,0.97898
16052,"Gera, Stadt",2019,1
16052,"Gera, Stadt",2020,0.9811
16052,"Gera, Stadt",2021,0.98277
16053,"Jena, Stadt",1998,0
16053,"Jena, Stadt",1999,0
16053,"Jena, Stadt",2000,0
16053,"Jena, Stadt",2001,0
16053,"Jena, Stadt",2002,0
16053,"Jena, Stadt",2003,0
16053,"Jena, Stadt",2004,0
16053,"Jena, Stadt",2005,0
16053,"Jena, Stadt",2006,0
16053,"Jena, Stadt",2007,0
16053,"Jena, Stadt",2008,0
16053,"Jena, Stadt",2009,0
16053,"Jena, Stadt",2010,0
16053,"Jena, Stadt",2011,0
16053,"Jena, Stadt",2012,0
16053,"Jena, Stadt",2013,0
16053,"Jena, Stadt",2014,0
16053,"Jena, Stadt",2015,0
16053,"Jena, Stadt",2016,0
16053,"Jena, Stadt",2017,0
16053,"Jena, Stadt",2018,0
16053,"Jena, Stadt",2019,0
16053,"Jena, Stadt",2020,0
16053,"Jena, Stadt",2021,0
16054,"Suhl, Stadt",1998,0.7002
16054,"Suhl, Stadt",1999,0.62748
16054,"Suhl, Stadt",2000,0.75843
16054,"Suhl, Stadt",2001,0.63074
16054,"Suhl, Stadt",2002,0.56392
16054,"Suhl, Stadt",2003,0.47912
16054,"Suhl, Stadt",2004,0.5243
16054,"Suhl, Stadt",2005,0.58586
16054,"Suhl, Stadt",2006,0.73407
16054,"Suhl, Stadt",2007,0.67319
16054,"Suhl, Stadt",2008,0.64618
16054,"Suhl, Stadt",2009,0.68416
16054,"Suhl, Stadt",2010,0.66569
16054,"Suhl, Stadt",2011,0.63026
16054,"Suhl, Stadt",2012,0.55012
16054,"Suhl, Stadt",2013,0.56422
16054,"Suhl, Stadt",2014,0.70229
16054,"Suhl, Stadt",2015,0.60027
