"gisd_score","gemeinde_id","gemeinde_name","year"
0.60987,"16051000","Erfurt, Stadt",1998
0.62571,"16051000","Erfurt, Stadt",1999
0.60457,"16051000","Erfurt, Stadt",2000
0.54809,"16051000","Erfurt, Stadt",2001
0.53296,"16051000","Erfurt, Stadt",2002
0.50919,"16051000","Erfurt, Stadt",2003
0.57529,"16051000","Erfurt, Stadt",2004
0.59775,"16051000","Erfurt, Stadt",2005
0.57851,"16051000","Erfurt, Stadt",2006
0.6243,"16051000","Erfurt, Stadt",2007
0.63449,"16051000","Erfurt, Stadt",2008
0.61468,"16051000","Erfurt, Stadt",2009
0.61348,"16051000","Erfurt, Stadt",2010
0.59275,"16051000","Erfurt, Stadt",2011
0.56962,"16051000","Erfurt, Stadt",2012
0.54848,"16051000","Erfurt, Stadt",2013
0.53345,"16051000","Erfurt, Stadt",2014
0.5934,"16051000","Erfurt, Stadt",2015
0.52766,"16051000","Erfurt, Stadt",2016
0.67071,"16051000","Erfurt, Stadt",2017
0.62715,"16051000","Erfurt, Stadt",2018
0.54577,"16051000","Erfurt, Stadt",2019
0.74177,"16052000","Gera, Stadt",1998
0.74924,"16052000","Gera, Stadt",1999
0.69957,"16052000","Gera, Stadt",2000
0.6882,"16052000","Gera, Stadt",2001
0.62312,"16052000","Gera, Stadt",2002
0.63704,"16052000","Gera, Stadt",2003
0.66572,"16052000","Gera, Stadt",2004
0.715,"16052000","Gera, Stadt",2005
0.72469,"16052000","Gera, Stadt",2006
0.777,"16052000","Gera, Stadt",2007
0.794,"16052000","Gera, Stadt",2008
0.92033,"16052000","Gera, Stadt",2009
0.81494,"16052000","Gera, Stadt",2010
0.82873,"16052000","Gera, Stadt",2011
0.77991,"16052000","Gera, Stadt",2012
0.75357,"16052000","Gera, Stadt",2013
0.74845,"16052000","Gera, Stadt",2014
0.78915,"16052000","Gera, Stadt",2015
0.76392,"16052000","Gera, Stadt",2016
0.83891,"16052000","Gera, Stadt",2017
0.90332,"16052000","Gera, Stadt",2018
0.83894,"16052000","Gera, Stadt",2019
0,"16053000","Jena, Stadt",1998
0,"16053000","Jena, Stadt",1999
0,"16053000","Jena, Stadt",2000
0,"16053000","Jena, Stadt",2001
0,"16053000","Jena, Stadt",2002
0,"16053000","Jena, Stadt",2003
0,"16053000","Jena, Stadt",2004
0,"16053000","Jena, Stadt",2005
0,"16053000","Jena, Stadt",2006
0,"16053000","Jena, Stadt",2007
0,"16053000","Jena, Stadt",2008
0,"16053000","Jena, Stadt",2009
0,"16053000","Jena, Stadt",2010
0,"16053000","Jena, Stadt",2011
0,"16053000","Jena, Stadt",2012
0,"16053000","Jena, Stadt",2013
0,"16053000","Jena, Stadt",2014
0,"16053000","Jena, Stadt",2015
0,"16053000","Jena, Stadt",2016
0,"16053000","Jena, Stadt",2017
0,"16053000","Jena, Stadt",2018
0,"16053000","Jena, Stadt",2019
0.62479,"16054000","Suhl, Stadt",1998
0.60049,"16054000","Suhl, Stadt",1999
0.71359,"16054000","Suhl, Stadt",2000
0.54893,"16054000","Suhl, Stadt",2001
0.51162,"16054000","Suhl, Stadt",2002
0.43907,"16054000","Suhl, Stadt",2003
0.47757,"16054000","Suhl, Stadt",2004
0.52011,"16054000","Suhl, Stadt",2005
0.65763,"16054000","Suhl, Stadt",2006
0.60948,"16054000","Suhl, Stadt",2007
0.58951,"16054000","Suhl, Stadt",2008
0.63279,"16054000","Suhl, Stadt",2009
0.59809,"16054000","Suhl, Stadt",2010
0.56252,"16054000","Suhl, Stadt",2011
0.507,"16054000","Suhl, Stadt",2012
0.52599,"16054000","Suhl, Stadt",2013
0.63406,"16054000","Suhl, Stadt",2014
0.56427,"16054000","Suhl, Stadt",2015
0.64343,"16054000","Suhl, Stadt",2016
0.65379,"16054000","Suhl, Stadt",2017
0.62543,"16054000","Suhl, Stadt",2018
0.66745,"16054000","Suhl, Stadt",2019
0.572,"16055000","Weimar, Stadt",1998
0.59502,"16055000","Weimar, Stadt",1999
0.57959,"16055000","Weimar, Stadt",2000
0.50546,"16055000","Weimar, Stadt",2001
0.4073,"16055000","Weimar, Stadt",2002
0.49876,"16055000","Weimar, Stadt",2003
0.49889,"16055000","Weimar, Stadt",2004
0.50545,"16055000","Weimar, Stadt",2005
0.63253,"16055000","Weimar, Stadt",2006
0.57259,"16055000","Weimar, Stadt",2007
0.57821,"16055000","Weimar, Stadt",2008
0.53522,"16055000","Weimar, Stadt",2009
0.57044,"16055000","Weimar, Stadt",2010
0.56741,"16055000","Weimar, Stadt",2011
0.46668,"16055000","Weimar, Stadt",2012
0.45472,"16055000","Weimar, Stadt",2013
0.40617,"16055000","Weimar, Stadt",2014
0.50137,"16055000","Weimar, Stadt",2015
0.45149,"16055000","Weimar, Stadt",2016
0.55441,"16055000","Weimar, Stadt",2017
0.5417,"16055000","Weimar, Stadt",2018
0.4678,"16055000","Weimar, Stadt",2019
0.6822,"16056000","Eisenach, Stadt",1998
0.77997,"16056000","Eisenach, Stadt",1999
0.6716,"16056000","Eisenach, Stadt",2000
0.61814,"16056000","Eisenach, Stadt",2001
0.59712,"16056000","Eisenach, Stadt",2002
0.53902,"16056000","Eisenach, Stadt",2003
0.55253,"16056000","Eisenach, Stadt",2004
0.63013,"16056000","Eisenach, Stadt",2005
0.5967,"16056000","Eisenach, Stadt",2006
0.61847,"16056000","Eisenach, Stadt",2007
0.67619,"16056000","Eisenach, Stadt",2008
0.74769,"16056000","Eisenach, Stadt",2009
0.74633,"16056000","Eisenach, Stadt",2010
0.68631,"16056000","Eisenach, Stadt",2011
0.73996,"16056000","Eisenach, Stadt",2012
0.73107,"16056000","Eisenach, Stadt",2013
0.7694,"16056000","Eisenach, Stadt",2014
0.74481,"16056000","Eisenach, Stadt",2015
0.72964,"16056000","Eisenach, Stadt",2016
0.97751,"16056000","Eisenach, Stadt",2017
0.92031,"16056000","Eisenach, Stadt",2018
0.76855,"16056000","Eisenach, Stadt",2019
0.57534,"16061001","Arenshausen",1998
0.56177,"16061001","Arenshausen",1999
0.58217,"16061001","Arenshausen",2000
0.44666,"16061001","Arenshausen",2001
0.53006,"16061001","Arenshausen",2002
0.48929,"16061001","Arenshausen",2003
0.4604,"16061001","Arenshausen",2004
0.48887,"16061001","Arenshausen",2005
0.49076,"16061001","Arenshausen",2006
0.48269,"16061001","Arenshausen",2007
0.47469,"16061001","Arenshausen",2008
0.56001,"16061001","Arenshausen",2009
0.50084,"16061001","Arenshausen",2010
0.47723,"16061001","Arenshausen",2011
0.49485,"16061001","Arenshausen",2012
0.48413,"16061001","Arenshausen",2013
0.48752,"16061001","Arenshausen",2014
0.52411,"16061001","Arenshausen",2015
0.49326,"16061001","Arenshausen",2016
0.56786,"16061001","Arenshausen",2017
0.50557,"16061001","Arenshausen",2018
0.51417,"16061001","Arenshausen",2019
0.58592,"16061002","Asbach-Sickenberg",1998
0.5768,"16061002","Asbach-Sickenberg",1999
0.58678,"16061002","Asbach-Sickenberg",2000
0.49899,"16061002","Asbach-Sickenberg",2001
0.57793,"16061002","Asbach-Sickenberg",2002
0.53479,"16061002","Asbach-Sickenberg",2003
0.51666,"16061002","Asbach-Sickenberg",2004
0.53312,"16061002","Asbach-Sickenberg",2005
0.52482,"16061002","Asbach-Sickenberg",2006
0.51836,"16061002","Asbach-Sickenberg",2007
0.49723,"16061002","Asbach-Sickenberg",2008
0.58715,"16061002","Asbach-Sickenberg",2009
0.54159,"16061002","Asbach-Sickenberg",2010
0.5308,"16061002","Asbach-Sickenberg",2011
0.52594,"16061002","Asbach-Sickenberg",2012
0.50933,"16061002","Asbach-Sickenberg",2013
0.5132,"16061002","Asbach-Sickenberg",2014
0.55568,"16061002","Asbach-Sickenberg",2015
0.52929,"16061002","Asbach-Sickenberg",2016
0.60175,"16061002","Asbach-Sickenberg",2017
0.5324,"16061002","Asbach-Sickenberg",2018
0.52181,"16061002","Asbach-Sickenberg",2019
0.64786,"16061003","Berlingerode",1998
0.58929,"16061003","Berlingerode",1999
0.59494,"16061003","Berlingerode",2000
0.59042,"16061003","Berlingerode",2001
0.6343,"16061003","Berlingerode",2002
0.60519,"16061003","Berlingerode",2003
0.58204,"16061003","Berlingerode",2004
0.6156,"16061003","Berlingerode",2005
0.60495,"16061003","Berlingerode",2006
0.57435,"16061003","Berlingerode",2007
0.55273,"16061003","Berlingerode",2008
0.66263,"16061003","Berlingerode",2009
0.57515,"16061003","Berlingerode",2010
0.56139,"16061003","Berlingerode",2011
0.5548,"16061003","Berlingerode",2012
0.52152,"16061003","Berlingerode",2013
0.55412,"16061003","Berlingerode",2014
0.56353,"16061003","Berlingerode",2015
0.534,"16061003","Berlingerode",2016
0.60378,"16061003","Berlingerode",2017
0.53951,"16061003","Berlingerode",2018
0.52817,"16061003","Berlingerode",2019
0.58592,"16061007","Birkenfelde",1998
0.5768,"16061007","Birkenfelde",1999
0.58678,"16061007","Birkenfelde",2000
0.49899,"16061007","Birkenfelde",2001
0.57793,"16061007","Birkenfelde",2002
0.53479,"16061007","Birkenfelde",2003
0.51666,"16061007","Birkenfelde",2004
0.53312,"16061007","Birkenfelde",2005
0.52482,"16061007","Birkenfelde",2006
0.51836,"16061007","Birkenfelde",2007
0.49723,"16061007","Birkenfelde",2008
0.58715,"16061007","Birkenfelde",2009
0.54159,"16061007","Birkenfelde",2010
0.5308,"16061007","Birkenfelde",2011
0.52594,"16061007","Birkenfelde",2012
0.50933,"16061007","Birkenfelde",2013
0.5132,"16061007","Birkenfelde",2014
0.55568,"16061007","Birkenfelde",2015
0.52929,"16061007","Birkenfelde",2016
0.60175,"16061007","Birkenfelde",2017
0.5324,"16061007","Birkenfelde",2018
0.52181,"16061007","Birkenfelde",2019
0.59719,"16061012","Bodenrode-Westhausen",1998
0.58761,"16061012","Bodenrode-Westhausen",1999
0.60421,"16061012","Bodenrode-Westhausen",2000
0.52459,"16061012","Bodenrode-Westhausen",2001
0.60358,"16061012","Bodenrode-Westhausen",2002
0.5428,"16061012","Bodenrode-Westhausen",2003
0.52161,"16061012","Bodenrode-Westhausen",2004
0.55052,"16061012","Bodenrode-Westhausen",2005
0.55886,"16061012","Bodenrode-Westhausen",2006
0.54595,"16061012","Bodenrode-Westhausen",2007
0.51352,"16061012","Bodenrode-Westhausen",2008
0.59571,"16061012","Bodenrode-Westhausen",2009
0.54509,"16061012","Bodenrode-Westhausen",2010
0.54103,"16061012","Bodenrode-Westhausen",2011
0.54307,"16061012","Bodenrode-Westhausen",2012
0.50858,"16061012","Bodenrode-Westhausen",2013
0.51751,"16061012","Bodenrode-Westhausen",2014
0.54279,"16061012","Bodenrode-Westhausen",2015
0.50672,"16061012","Bodenrode-Westhausen",2016
0.57236,"16061012","Bodenrode-Westhausen",2017
0.50919,"16061012","Bodenrode-Westhausen",2018
0.49817,"16061012","Bodenrode-Westhausen",2019
0.57534,"16061014","Bornhagen",1998
0.56177,"16061014","Bornhagen",1999
0.58217,"16061014","Bornhagen",2000
0.44666,"16061014","Bornhagen",2001
0.53006,"16061014","Bornhagen",2002
0.48929,"16061014","Bornhagen",2003
0.4604,"16061014","Bornhagen",2004
0.48887,"16061014","Bornhagen",2005
0.49076,"16061014","Bornhagen",2006
0.48269,"16061014","Bornhagen",2007
0.47469,"16061014","Bornhagen",2008
