gemeindeve22;gemeindeve22name;q_einkst_bev98;q_einkst_bev99;q_einkst_bev00;q_einkst_bev01;q_einkst_bev02;q_einkst_bev03;q_einkst_bev04;q_einkst_bev05;q_einkst_bev06;q_einkst_bev07;q_einkst_bev08;q_einkst_bev09;q_einkst_bev10;q_einkst_bev11;q_einkst_bev12;q_einkst_bev13;q_einkst_bev14;q_einkst_bev15;q_einkst_bev16;q_einkst_bev17;q_einkst_bev18;q_einkst_bev19;q_einkst_bev20;q_einkst_bev21;q_einkst_bev22
Gebietskennziffer;Name;Einkommensteuer 1998;Einkommensteuer 1999;Einkommensteuer 2000;Einkommensteuer 2001;Einkommensteuer 2002;Einkommensteuer 2003;Einkommensteuer 2004;Einkommensteuer 2005;Einkommensteuer 2006;Einkommensteuer 2007;Einkommensteuer 2008;Einkommensteuer 2009;Einkommensteuer 2010;Einkommensteuer 2011;Einkommensteuer 2012;Einkommensteuer 2013;Einkommensteuer 2014;Einkommensteuer 2015;Einkommensteuer 2016;Einkommensteuer 2017;Einkommensteuer 2018;Einkommensteuer 2019;Einkommensteuer 2020;Einkommensteuer 2021;Einkommensteuer 2022
010010000;Flensburg, Stadt;297,44;267,11;256,51;247,37;242,72;213,8;196,38;195,68;202,75;223,27;244,56;239,52;235,36;284,73;292,4;310,6;322,01;333;342,47;371,39;363,95;392,62;377,84;388,52;419,18
010020000;Kiel, Landeshauptstadt;308,94;285,18;274,87;266,11;260,65;229,71;211,88;210,9;227,23;251,94;278,09;271,01;265,69;302,2;296,29;314,47;326,64;349,85;364,35;399,22;407,97;444,7;427,2;441,55;481,02
010030000;Lübeck, Hansestadt;290,5;264,58;253,87;245,29;241,53;213,76;198,23;198,3;212,52;236,8;262,93;252,6;248,44;279,8;277,48;294,82;306,18;327,21;341,61;375,75;389,66;424,76;409,02;429,14;466,39
010040000;Neumünster, Stadt;291,05;271,85;262,83;254,65;250,85;221,43;205,52;206,82;212,1;237,73;264,85;242,74;239,42;268,91;258,36;275,74;286,36;294,14;305,87;337,28;347,29;374,07;360,38;379,56;415,94
010510011;Brunsbüttel, Stadt;318,65;275,83;274,85;266,44;262,16;244,24;226,28;228,42;242,07;272,64;304,43;299,36;297,41;345,85;333,75;357,68;376,36;392,07;408,24;451,64;440,39;485,3;466,45;470,23;506,26
010510044;Heide, Stadt;291,28;270,12;260,74;252,11;249,01;215,41;199,03;196,87;202,37;224,37;248,45;229,82;224,98;255,28;249,83;264,34;273,86;292,74;304,73;331,95;328,87;354,63;346,23;365,52;395,7
010515163;Burg-St. Michaelisdonn;225,14;222,7;221,88;215,31;212,03;191,99;177,46;177,86;193,22;219,18;244,14;233,49;231,6;263,91;264,18;285,06;299,47;319,09;334,3;369,46;389,48;424,46;405;417,37;452,13
010515166;Marne-Nordsee;238,59;230,71;213,37;206,03;202,63;191,71;177,1;177,19;199,06;223,41;248,09;224,47;221,11;254,33;278,72;299,13;312,44;321,37;334,41;366,54;375,38;408,34;389,74;410,32;449,38
010515169;Eider;203,96;197,85;201,54;193,07;190,86;177,15;164,06;164,57;179,4;200,17;223,73;209,24;208,09;233,06;239,55;257,71;268,5;286,75;300,92;332,55;347,06;374,17;357,63;384,65;419,49
010515172;Heider Umland;245,1;231,05;233,11;225,54;220,4;217,76;201,06;201,25;223,98;249,44;277,04;268,62;266,34;298,22;305,01;327,15;341,8;372,29;387,41;424,27;436,94;477,46;455,24;485,56;527,67
010515175;Mitteldithmarschen;236,29;224,43;221,88;212,87;208,21;189,75;174,32;175,51;194,47;217,49;241,87;235,93;233,36;267,17;268;287,3;300,95;325,94;338,1;372,39;379,53;412,33;395,23;411,79;448,64
010515178;Büsum-Wesselburen;230,07;219,06;203,48;196,15;193,57;171,58;159,3;158,7;167,67;187,54;208,63;186,95;184,85;214,26;219,01;234,34;246,52;267,85;275,65;301,46;310,78;338,28;323,35;349;375,6
010530032;Geesthacht, Stadt;322,94;298,63;308,08;297,13;290,12;280,08;258,35;258,95;274,09;306,43;339,63;317,07;312,61;357,41;343,94;364,27;376,87;392,91;405,37;445,74;439,96;475,98;449,97;447,11;477,92
010530083;Lauenburg/ Elbe, Stadt;256,68;246,58;238,89;230,57;227,66;202,88;188,55;189,5;197,91;223,05;247,73;232,64;231,28;262,6;252,2;267,04;278,62;287,33;298,02;327,57;339,52;370,32;358,01;355,2;382,34
010530090;Mölln, Stadt;278,73;260,37;262,46;253,41;249,27;227,06;208,93;209,11;219,29;243,46;269,93;253,03;249,47;282,69;282,37;300,76;312,75;324,14;337,08;370,91;370,96;401,02;381,93;397,48;432,47
010530100;Ratzeburg, Stadt;280,63;266,54;254,41;243,47;235,97;218,32;199,99;198,33;217,24;242,76;271,19;262,43;258,63;293,76;282,38;298;306,3;336,12;344,43;376,43;382,68;419,5;402,9;438,5;476,11
010530116;Schwarzenbek, Stadt;286,23;265,95;273,03;257,35;248,4;254,99;233,64;233,53;268,23;297,77;330,06;309,98;302,64;343,7;341,43;359,67;370,16;391,01;400,87;437,09;445,16;480,73;461,2;475,62;509,9
010530129;Wentorf bei Hamburg;432,21;402,82;375,99;350,59;321,83;316,55;290,56;289,63;379,8;420,7;467,34;465,92;457,49;507,65;513,61;541,39;560,67;562,63;583,38;627,29;606,3;654,46;630,47;658,38;712,31
010535308;Berkenthin;273,35;270,85;291,32;279,03;268,72;261,1;238,11;233,56;274,26;308,32;340,62;334,92;332,68;362,42;361,77;388,36;402,28;429,03;452,48;494,08;515,69;563,94;537,93;574,52;621,74
010535313;Breitenfelde;273,19;271,7;267,55;251,9;243,15;230,14;211,09;210,62;250,04;282,61;312,81;312,12;305,86;339,84;339,48;363,36;378,7;402,85;420,91;458,24;486,78;528,91;496,81;528,75;575,69
010535318;Büchen;270,99;259,42;261,24;252,64;247,12;233,4;213,92;213,23;239,82;266,91;293,68;291,2;287,63;322,37;337;360,5;374,34;396,78;411,45;448,89;464,27;493,9;464,13;479,08;512,3
010535323;Hohe Elbgeest;386,44;380,35;388,98;371,05;362,06;377,96;344,21;341,07;386,14;427,21;469,12;445,67;437,27;481,4;506,01;536,62;556,55;597,91;617,97;669,08;665,27;717,62;686,9;689,3;746,01
010535343;Lütau;256,73;258,2;262,69;250,51;243,07;233,37;210,64;212,65;238,57;266,57;294,33;295,92;289,75;343,91;343,11;364,28;382,58;403,93;418,48;461,33;486,68;529,97;511,34;518,97;571,53
010535358;Lauenburgische Seen;287,2;288,55;287,54;277,41;272,76;262,32;240,37;239,91;272;302,34;334,62;316,98;311,8;349,17;360,88;384,33;399,06;439,87;455,42;495,65;513,61;553,85;531,29;543,54;588,39
010535373;Schwarzenbek-Land;299,99;295,64;311,94;296,9;288,59;298,55;275,92;273,18;314,68;352,82;392,22;386,67;377,18;430,41;418,97;448,47;468,06;491,79;509,39;554,8;553,78;603,26;574,8;580,68;630,69
010535391;Sandesneben-Nusse;249,22;244,08;252,58;240,73;235,11;233,28;214,86;214,45;254;282,51;313,75;310,46;306,27;340,66;351,14;375;387,7;419,32;435,49;477,55;490,53;532,45;510,58;527,07;576,12
010539105;Sachsenwald (Forstgutsbez.),gemfr.Geb.;;;;;;;;;;;;;;;;;;;;;;;;;
010540033;Friedrichstadt, Stadt;228,67;220,73;218,16;209,82;206,54;170,27;160,21;159,95;163,72;185,11;208,61;192,1;189,13;200,94;198,39;212,47;221,6;249,8;255,28;275,79;274,74;290,12;277,13;288,74;321,14
010540056;Husum, Stadt;290,13;267,1;262,39;254,04;250,92;222,07;205,1;204,67;221,36;247,41;275,3;254,73;252,54;284,35;274,53;293,93;305,11;327,24;332,5;362,29;359,1;389,71;373,12;397,09;430,47
010540108;Reußenköge;276,28;266,86;240,11;227,78;223,76;215,26;199,45;206,21;271,14;313,25;345,35;351,85;340,36;356,74;565,09;608,96;655,38;743,28;806,75;905,37;971,27;1042,46;970,7;1030,54;1136,43
010540138;Tönning, Stadt;218,81;205,28;190,5;183,8;180,61;163,35;150,76;150,64;171,34;193,17;215,36;201,8;197,52;223,88;220,21;236,34;248,76;261,29;268,84;294,57;309,52;335,07;323,72;349;383,49
010540168;Sylt;345,67;312,67;315,21;306,51;298,87;262,8;242,42;240,35;248,07;276,74;308,38;307;304,7;380,65;410,65;441,6;462,3;497,66;514,54;563,9;549,14;592,66;563,59;606,15;655,56
010545417;Eiderstedt;213,97;206,42;205,52;199,68;196,82;177,37;163,08;164,46;185,32;206,12;227,81;215,04;212,6;247,73;266,1;284,62;291,54;309,39;321,36;351,96;361,61;394,62;378,03;414,43;449,32
010545439;Landschaft Sylt;272,02;256,09;254,27;245,06;238,78;215,82;201,14;202,61;212,27;237,76;265,69;251,26;242,13;356,5;372,32;400,56;419,84;478,75;506,56;553,19;493,74;537,03;500,14;545,01;582,94
